Subject,Accuracy,Treatment Condition,Age Group
2,1,Control,Older
2,0,Control,Older
2,0,Control,Older
2,1,Treatment,Older
2,1,Treatment,Older
2,0,Control,Older
2,0,Treatment,Older
2,1,Treatment,Older
2,1,Treatment,Older
2,1,Treatment,Older
2,0,Treatment,Older
2,0,Treatment,Older
2,1,Control,Older
2,0,Control,Older
2,0,Treatment,Older
2,0,Treatment,Older
2,1,Control,Older
2,0,Treatment,Older
2,1,Treatment,Older
2,1,Control,Older
2,1,Control,Older
2,0,Control,Older
2,0,Treatment,Older
2,1,Treatment,Older
2,1,Treatment,Older
2,0,Control,Older
2,0,Control,Older
2,1,Control,Older
2,0,Control,Older
2,0,Control,Older
2,0,Control,Older
2,1,Treatment,Older
2,1,Treatment,Older
2,1,Control,Older
2,1,Control,Older
3,1,Treatment,Older
3,1,Control,Older
3,1,Treatment,Older
3,1,Control,Older
3,0,Control,Older
3,1,Control,Older
3,0,Treatment,Older
3,1,Control,Older
3,0,Treatment,Older
3,1,Control,Older
3,1,Treatment,Older
3,1,Control,Older
3,0,Treatment,Older
3,1,Treatment,Older
3,1,Treatment,Older
3,1,Control,Older
3,1,Control,Older
3,1,Treatment,Older
3,1,Control,Older
3,1,Control,Older
3,1,Treatment,Older
3,0,Treatment,Older
3,1,Treatment,Older
3,0,Control,Older
3,0,Control,Older
3,1,Control,Older
3,1,Control,Older
3,0,Control,Older
3,0,Control,Older
3,1,Treatment,Older
3,0,Control,Older
3,0,Control,Older
3,1,Control,Older
3,1,Control,Older
3,1,Treatment,Older
3,1,Control,Older
3,0,Control,Older
3,1,Control,Older
3,1,Treatment,Older
3,1,Treatment,Older
3,0,Treatment,Older
3,0,Control,Older
3,1,Treatment,Older
3,1,Treatment,Older
3,1,Control,Older
3,1,Treatment,Older
3,1,Control,Older
3,1,Control,Older
3,1,Treatment,Older
3,0,Control,Older
3,0,Control,Older
3,1,Treatment,Older
3,1,Treatment,Older
3,1,Treatment,Older
3,1,Treatment,Older
3,1,Treatment,Older
3,1,Treatment,Older
3,0,Treatment,Older
3,1,Control,Older
3,1,Treatment,Older
3,1,Treatment,Older
3,1,Treatment,Older
3,1,Treatment,Older
3,1,Control,Older
4,1,Treatment,Older
4,1,Control,Older
4,1,Treatment,Older
4,1,Treatment,Older
4,0,Control,Older
4,0,Control,Older
4,0,Treatment,Older
4,1,Control,Older
4,1,Control,Older
4,1,Treatment,Older
4,1,Treatment,Older
4,1,Control,Older
4,1,Control,Older
4,1,Treatment,Older
4,1,Control,Older
4,1,Treatment,Older
4,1,Treatment,Older
4,1,Treatment,Older
4,1,Treatment,Older
4,1,Control,Older
4,0,Treatment,Older
4,1,Treatment,Older
4,1,Control,Older
4,1,Control,Older
4,1,Treatment,Older
4,0,Control,Older
4,1,Control,Older
4,1,Treatment,Older
4,1,Control,Older
4,1,Control,Older
4,1,Control,Older
4,1,Treatment,Older
4,0,Control,Older
4,1,Treatment,Older
4,1,Treatment,Older
4,1,Treatment,Older
4,1,Treatment,Older
4,1,Control,Older
4,1,Control,Older
4,1,Treatment,Older
4,1,Control,Older
4,1,Control,Older
4,1,Treatment,Older
4,0,Control,Older
4,1,Control,Older
4,1,Control,Older
4,1,Treatment,Older
4,0,Control,Older
4,1,Control,Older
4,0,Control,Older
4,0,Control,Older
4,1,Treatment,Older
4,1,Control,Older
4,1,Control,Older
4,1,Treatment,Older
4,1,Treatment,Older
4,1,Treatment,Older
4,1,Control,Older
4,1,Treatment,Older
4,1,Treatment,Older
4,1,Treatment,Older
4,1,Control,Older
4,0,Treatment,Older
4,0,Treatment,Older
5,1,Treatment,Older
5,1,Treatment,Older
5,1,Treatment,Older
5,0,Control,Older
5,1,Control,Older
5,1,Control,Older
5,1,Control,Older
5,1,Treatment,Older
5,1,Treatment,Older
5,1,Treatment,Older
5,1,Control,Older
5,1,Treatment,Older
5,1,Treatment,Older
5,1,Treatment,Older
5,1,Control,Older
5,1,Treatment,Older
5,1,Control,Older
5,1,Treatment,Older
5,1,Control,Older
5,1,Control,Older
5,0,Control,Older
5,1,Treatment,Older
5,1,Treatment,Older
5,1,Control,Older
5,1,Control,Older
5,0,Control,Older
5,1,Control,Older
5,0,Control,Older
5,0,Control,Older
5,1,Control,Older
5,1,Control,Older
5,1,Control,Older
5,1,Treatment,Older
5,1,Control,Older
5,1,Control,Older
5,1,Treatment,Older
5,0,Control,Older
5,1,Treatment,Older
5,1,Treatment,Older
5,1,Treatment,Older
5,0,Treatment,Older
5,1,Treatment,Older
5,1,Control,Older
5,1,Treatment,Older
5,1,Treatment,Older
5,1,Treatment,Older
5,1,Control,Older
5,1,Control,Older
5,1,Treatment,Older
5,1,Treatment,Older
5,1,Treatment,Older
5,1,Control,Older
5,0,Control,Older
5,1,Control,Older
5,1,Control,Older
5,1,Control,Older
5,1,Treatment,Older
5,1,Control,Older
5,0,Control,Older
5,1,Treatment,Older
5,1,Treatment,Older
5,0,Treatment,Older
5,1,Treatment,Older
5,1,Treatment,Older
6,1,Treatment,Older
6,0,Control,Older
6,0,Control,Older
6,1,Treatment,Older
6,1,Control,Older
6,1,Treatment,Older
6,0,Control,Older
6,0,Treatment,Older
6,0,Control,Older
6,1,Treatment,Older
6,1,Control,Older
6,1,Treatment,Older
6,1,Treatment,Older
6,1,Control,Older
6,1,Treatment,Older
6,1,Treatment,Older
6,1,Control,Older
6,1,Treatment,Older
6,1,Treatment,Older
6,1,Control,Older
6,1,Treatment,Older
6,1,Treatment,Older
6,1,Treatment,Older
6,0,Treatment,Older
6,1,Treatment,Older
6,0,Control,Older
6,0,Control,Older
6,1,Treatment,Older
6,1,Control,Older
6,1,Treatment,Older
6,1,Treatment,Older
6,1,Control,Older
6,1,Treatment,Older
6,0,Control,Older
6,1,Control,Older
6,1,Control,Older
6,1,Treatment,Older
6,1,Treatment,Older
6,1,Treatment,Older
6,1,Treatment,Older
6,1,Treatment,Older
6,1,Treatment,Older
6,1,Control,Older
6,1,Control,Older
6,1,Control,Older
6,1,Treatment,Older
6,1,Treatment,Older
6,1,Treatment,Older
6,1,Control,Older
6,1,Treatment,Older
6,0,Control,Older
6,0,Control,Older
6,0,Control,Older
6,1,Control,Older
6,1,Treatment,Older
6,1,Treatment,Older
6,1,Control,Older
6,1,Control,Older
6,1,Control,Older
6,1,Control,Older
6,1,Control,Older
6,1,Control,Older
6,0,Control,Older
6,1,Control,Older
7,1,Treatment,Older
7,1,Control,Older
7,1,Treatment,Older
7,1,Treatment,Older
7,1,Control,Older
7,1,Control,Older
7,1,Treatment,Older
7,0,Treatment,Older
7,1,Treatment,Older
7,1,Treatment,Older
7,0,Treatment,Older
7,1,Treatment,Older
7,1,Treatment,Older
7,1,Control,Older
7,1,Control,Older
7,1,Treatment,Older
7,1,Treatment,Older
7,1,Control,Older
7,1,Treatment,Older
7,1,Treatment,Older
7,1,Control,Older
7,1,Control,Older
7,1,Control,Older
7,1,Treatment,Older
7,1,Control,Older
7,1,Control,Older
7,1,Control,Older
7,1,Treatment,Older
7,1,Control,Older
7,1,Control,Older
7,1,Treatment,Older
7,1,Control,Older
7,1,Treatment,Older
7,1,Treatment,Older
7,1,Control,Older
7,1,Treatment,Older
7,1,Control,Older
7,1,Treatment,Older
7,1,Control,Older
7,1,Control,Older
7,1,Control,Older
7,1,Control,Older
7,1,Control,Older
7,1,Control,Older
7,1,Treatment,Older
7,1,Control,Older
7,1,Treatment,Older
7,1,Control,Older
7,1,Treatment,Older
7,1,Control,Older
7,1,Control,Older
7,1,Control,Older
7,1,Control,Older
7,1,Treatment,Older
7,1,Control,Older
7,1,Treatment,Older
7,1,Treatment,Older
7,1,Control,Older
7,1,Treatment,Older
7,1,Treatment,Older
7,1,Control,Older
7,1,Treatment,Older
7,1,Treatment,Older
7,1,Treatment,Older
8,1,Control,Older
8,1,Treatment,Older
8,1,Control,Older
8,0,Treatment,Older
8,0,Control,Older
8,1,Treatment,Older
8,1,Treatment,Older
8,1,Treatment,Older
8,1,Control,Older
8,0,Control,Older
8,1,Treatment,Older
8,0,Control,Older
8,0,Control,Older
8,1,Treatment,Older
8,1,Control,Older
8,1,Treatment,Older
8,0,Treatment,Older
8,1,Control,Older
8,1,Control,Older
8,1,Treatment,Older
8,1,Treatment,Older
8,1,Treatment,Older
8,1,Control,Older
8,0,Control,Older
8,1,Control,Older
8,1,Treatment,Older
8,0,Treatment,Older
8,1,Treatment,Older
8,1,Control,Older
8,1,Treatment,Older
8,1,Treatment,Older
8,1,Control,Older
8,1,Control,Older
8,1,Treatment,Older
8,1,Treatment,Older
8,0,Control,Older
8,1,Control,Older
8,1,Treatment,Older
8,1,Control,Older
8,1,Control,Older
8,1,Treatment,Older
8,1,Treatment,Older
8,1,Control,Older
8,1,Treatment,Older
8,1,Treatment,Older
8,1,Control,Older
8,1,Treatment,Older
8,1,Control,Older
8,1,Control,Older
8,1,Treatment,Older
8,1,Control,Older
8,1,Control,Older
8,1,Control,Older
8,1,Treatment,Older
8,0,Control,Older
8,1,Control,Older
8,1,Treatment,Older
8,1,Control,Older
8,1,Treatment,Older
8,1,Control,Older
8,0,Control,Older
8,1,Treatment,Older
8,1,Treatment,Older
8,0,Treatment,Older
9,1,Treatment,Older
9,1,Control,Older
9,1,Treatment,Older
9,0,Control,Older
9,1,Treatment,Older
9,1,Treatment,Older
9,1,Control,Older
9,1,Treatment,Older
9,1,Treatment,Older
9,0,Treatment,Older
9,1,Treatment,Older
9,1,Treatment,Older
9,1,Control,Older
9,1,Treatment,Older
9,0,Control,Older
9,1,Control,Older
9,1,Control,Older
9,1,Treatment,Older
9,1,Treatment,Older
9,1,Treatment,Older
9,1,Treatment,Older
9,1,Treatment,Older
9,1,Treatment,Older
9,1,Control,Older
9,1,Control,Older
9,0,Control,Older
9,0,Control,Older
9,1,Control,Older
9,1,Control,Older
9,1,Control,Older
9,1,Treatment,Older
9,1,Treatment,Older
9,1,Control,Older
9,1,Control,Older
9,1,Treatment,Older
9,1,Control,Older
9,0,Treatment,Older
9,0,Control,Older
9,0,Treatment,Older
9,1,Control,Older
9,1,Treatment,Older
9,0,Control,Older
9,1,Control,Older
9,1,Treatment,Older
9,0,Treatment,Older
9,1,Control,Older
9,1,Control,Older
9,1,Treatment,Older
9,1,Treatment,Older
9,1,Treatment,Older
9,1,Control,Older
9,0,Control,Older
9,0,Control,Older
9,0,Control,Older
9,1,Control,Older
9,1,Control,Older
9,1,Treatment,Older
9,1,Treatment,Older
9,1,Control,Older
9,1,Treatment,Older
9,1,Treatment,Older
9,0,Control,Older
9,1,Treatment,Older
9,0,Control,Older
10,1,Treatment,Older
10,0,Treatment,Older
10,1,Control,Older
10,1,Treatment,Older
10,0,Control,Older
10,1,Treatment,Older
10,1,Treatment,Older
10,1,Control,Older
10,0,Control,Older
10,0,Treatment,Older
10,1,Treatment,Older
10,1,Control,Older
10,1,Treatment,Older
10,1,Control,Older
10,1,Control,Older
10,1,Control,Older
10,1,Control,Older
10,1,Treatment,Older
10,1,Treatment,Older
10,0,Treatment,Older
10,1,Control,Older
10,1,Control,Older
10,0,Control,Older
10,1,Treatment,Older
10,1,Treatment,Older
10,0,Control,Older
10,1,Treatment,Older
10,1,Treatment,Older
10,0,Control,Older
10,1,Control,Older
10,1,Control,Older
10,1,Control,Older
10,1,Treatment,Older
10,1,Treatment,Older
10,1,Treatment,Older
10,1,Control,Older
10,1,Treatment,Older
10,1,Treatment,Older
10,1,Treatment,Older
10,1,Control,Older
10,1,Treatment,Older
10,1,Control,Older
10,1,Control,Older
10,1,Control,Older
10,1,Control,Older
10,1,Treatment,Older
10,1,Treatment,Older
10,1,Treatment,Older
10,0,Treatment,Older
10,1,Treatment,Older
10,1,Control,Older
10,0,Control,Older
10,1,Control,Older
10,1,Control,Older
10,1,Treatment,Older
10,1,Control,Older
10,1,Control,Older
10,1,Treatment,Older
10,1,Treatment,Older
10,1,Control,Older
10,1,Control,Older
10,1,Treatment,Older
10,1,Treatment,Older
10,0,Control,Older
11,1,Treatment,Older
11,1,Treatment,Older
11,1,Treatment,Older
11,1,Treatment,Older
11,1,Treatment,Older
11,1,Treatment,Older
11,1,Treatment,Older
11,0,Control,Older
11,1,Treatment,Older
11,1,Treatment,Older
11,1,Treatment,Older
11,1,Control,Older
11,0,Control,Older
11,1,Control,Older
11,1,Control,Older
11,1,Treatment,Older
11,1,Control,Older
11,1,Control,Older
11,1,Treatment,Older
11,1,Control,Older
11,1,Control,Older
11,1,Treatment,Older
11,1,Control,Older
11,1,Treatment,Older
11,1,Control,Older
11,0,Treatment,Older
11,1,Control,Older
11,1,Control,Older
11,1,Treatment,Older
11,1,Treatment,Older
11,1,Treatment,Older
11,1,Treatment,Older
11,1,Treatment,Older
11,1,Treatment,Older
11,0,Control,Older
11,1,Control,Older
11,1,Treatment,Older
11,1,Control,Older
11,0,Treatment,Older
11,0,Treatment,Older
11,1,Treatment,Older
11,1,Control,Older
11,0,Control,Older
11,1,Control,Older
11,1,Control,Older
11,1,Treatment,Older
11,1,Control,Older
11,0,Control,Older
11,1,Treatment,Older
11,1,Treatment,Older
11,1,Control,Older
11,0,Control,Older
11,1,Treatment,Older
11,1,Control,Older
11,1,Control,Older
11,1,Control,Older
11,1,Control,Older
11,1,Control,Older
11,1,Control,Older
11,1,Treatment,Older
11,1,Treatment,Older
11,0,Control,Older
11,1,Treatment,Older
11,0,Control,Older
12,1,Control,Older
12,1,Treatment,Older
12,1,Control,Older
12,0,Control,Older
12,1,Treatment,Older
12,1,Control,Older
12,1,Treatment,Older
12,0,Control,Older
12,0,Control,Older
12,1,Treatment,Older
12,1,Treatment,Older
12,0,Treatment,Older
12,1,Treatment,Older
12,1,Treatment,Older
12,1,Treatment,Older
12,0,Control,Older
12,0,Control,Older
12,0,Treatment,Older
12,1,Control,Older
12,0,Control,Older
12,1,Control,Older
12,0,Treatment,Older
12,1,Control,Older
12,1,Control,Older
12,1,Control,Older
12,0,Treatment,Older
12,0,Treatment,Older
12,1,Treatment,Older
12,1,Treatment,Older
12,1,Treatment,Older
12,0,Treatment,Older
12,1,Treatment,Older
12,1,Treatment,Older
12,1,Control,Older
12,1,Treatment,Older
12,0,Control,Older
12,1,Treatment,Older
12,1,Treatment,Older
12,1,Control,Older
12,0,Control,Older
12,0,Treatment,Older
12,1,Control,Older
12,1,Treatment,Older
12,1,Control,Older
12,1,Control,Older
12,1,Control,Older
12,1,Treatment,Older
12,1,Control,Older
12,0,Control,Older
12,1,Treatment,Older
12,1,Treatment,Older
12,1,Control,Older
12,0,Treatment,Older
12,1,Control,Older
12,1,Control,Older
12,1,Treatment,Older
12,1,Control,Older
12,1,Control,Older
12,1,Control,Older
12,1,Control,Older
12,1,Treatment,Older
12,1,Control,Older
12,0,Treatment,Older
12,1,Treatment,Older
13,1,Treatment,Older
13,1,Control,Older
13,1,Treatment,Older
13,1,Treatment,Older
13,1,Control,Older
13,1,Control,Older
13,1,Control,Older
13,1,Control,Older
13,1,Treatment,Older
13,1,Control,Older
13,1,Control,Older
13,1,Treatment,Older
13,1,Treatment,Older
13,1,Treatment,Older
13,0,Control,Older
13,0,Control,Older
13,1,Treatment,Older
13,1,Control,Older
13,1,Control,Older
13,1,Control,Older
13,1,Treatment,Older
13,1,Treatment,Older
13,1,Treatment,Older
13,1,Control,Older
13,1,Control,Older
13,1,Treatment,Older
13,1,Treatment,Older
13,1,Treatment,Older
13,1,Treatment,Older
13,1,Control,Older
13,1,Treatment,Older
13,1,Treatment,Older
13,0,Treatment,Older
13,1,Control,Older
13,1,Treatment,Older
13,1,Treatment,Older
13,1,Control,Older
13,1,Treatment,Older
13,1,Control,Older
13,0,Control,Older
13,1,Control,Older
13,1,Control,Older
13,1,Control,Older
13,1,Treatment,Older
13,1,Treatment,Older
13,1,Treatment,Older
13,1,Control,Older
13,1,Treatment,Older
13,1,Control,Older
13,1,Treatment,Older
13,1,Control,Older
13,1,Control,Older
13,1,Treatment,Older
13,0,Control,Older
13,1,Control,Older
13,1,Treatment,Older
13,0,Treatment,Older
13,1,Treatment,Older
13,1,Control,Older
13,1,Treatment,Older
13,0,Control,Older
13,1,Control,Older
13,0,Control,Older
13,1,Treatment,Older
14,1,Control,Older
14,1,Treatment,Older
14,1,Treatment,Older
14,1,Treatment,Older
14,1,Treatment,Older
14,1,Control,Older
14,1,Control,Older
14,1,Control,Older
14,1,Control,Older
14,1,Treatment,Older
14,1,Treatment,Older
14,1,Treatment,Older
14,1,Treatment,Older
14,1,Treatment,Older
14,1,Control,Older
14,1,Control,Older
14,1,Treatment,Older
14,1,Treatment,Older
14,1,Treatment,Older
14,1,Treatment,Older
14,1,Treatment,Older
14,1,Control,Older
14,1,Control,Older
14,1,Control,Older
14,1,Treatment,Older
14,1,Treatment,Older
14,1,Treatment,Older
14,1,Control,Older
14,1,Treatment,Older
14,1,Treatment,Older
14,1,Treatment,Older
14,1,Treatment,Older
14,1,Control,Older
14,1,Control,Older
14,1,Control,Older
14,1,Control,Older
14,1,Control,Older
14,1,Control,Older
14,1,Treatment,Older
14,1,Control,Older
14,1,Control,Older
14,1,Treatment,Older
14,1,Control,Older
14,1,Control,Older
14,1,Treatment,Older
14,1,Control,Older
14,1,Treatment,Older
14,1,Treatment,Older
14,1,Control,Older
14,1,Treatment,Older
14,1,Control,Older
14,1,Treatment,Older
14,1,Control,Older
14,1,Control,Older
14,1,Treatment,Older
14,1,Control,Older
14,1,Treatment,Older
14,1,Control,Older
14,1,Control,Older
14,1,Control,Older
14,1,Treatment,Older
14,1,Control,Older
14,1,Treatment,Older
14,1,Control,Older
15,1,Treatment,Older
15,1,Control,Older
15,1,Treatment,Older
15,1,Treatment,Older
15,1,Control,Older
15,1,Control,Older
15,1,Control,Older
15,1,Treatment,Older
15,0,Treatment,Older
15,1,Treatment,Older
15,1,Control,Older
15,0,Treatment,Older
15,0,Control,Older
15,1,Treatment,Older
15,1,Treatment,Older
15,1,Treatment,Older
15,1,Treatment,Older
15,1,Control,Older
15,1,Control,Older
15,1,Control,Older
15,1,Treatment,Older
15,1,Treatment,Older
15,0,Control,Older
15,1,Control,Older
15,1,Control,Older
15,1,Treatment,Older
15,1,Control,Older
15,1,Treatment,Older
15,0,Control,Older
15,0,Control,Older
15,1,Treatment,Older
15,1,Treatment,Older
15,1,Treatment,Older
15,1,Treatment,Older
15,1,Control,Older
15,1,Control,Older
15,1,Control,Older
15,1,Control,Older
15,1,Treatment,Older
15,1,Control,Older
15,1,Control,Older
15,1,Control,Older
15,0,Treatment,Older
15,1,Treatment,Older
15,0,Control,Older
15,1,Treatment,Older
15,1,Treatment,Older
15,1,Control,Older
15,1,Treatment,Older
15,1,Control,Older
15,1,Control,Older
15,0,Control,Older
15,1,Control,Older
15,1,Treatment,Older
15,1,Control,Older
15,1,Control,Older
15,1,Treatment,Older
15,1,Treatment,Older
15,1,Treatment,Older
15,0,Treatment,Older
15,1,Treatment,Older
15,1,Control,Older
15,1,Treatment,Older
15,1,Control,Older
16,1,Control,Older
16,0,Treatment,Older
16,1,Treatment,Older
16,0,Treatment,Older
16,1,Treatment,Older
16,1,Treatment,Older
16,1,Treatment,Older
16,1,Treatment,Older
16,1,Treatment,Older
16,0,Control,Older
16,1,Control,Older
16,1,Treatment,Older
16,1,Control,Older
16,1,Control,Older
16,1,Treatment,Older
16,1,Control,Older
16,1,Control,Older
16,1,Control,Older
16,1,Treatment,Older
16,1,Control,Older
16,1,Treatment,Older
16,1,Control,Older
16,0,Treatment,Older
16,1,Control,Older
16,1,Treatment,Older
16,1,Treatment,Older
16,1,Control,Older
16,1,Control,Older
16,0,Treatment,Older
16,1,Control,Older
16,1,Control,Older
16,1,Control,Older
16,1,Treatment,Older
16,1,Treatment,Older
16,1,Treatment,Older
16,1,Treatment,Older
16,1,Control,Older
16,1,Treatment,Older
16,1,Treatment,Older
16,1,Treatment,Older
16,1,Control,Older
16,1,Treatment,Older
16,1,Treatment,Older
16,1,Treatment,Older
16,1,Treatment,Older
16,1,Treatment,Older
16,0,Control,Older
16,1,Control,Older
16,1,Control,Older
16,0,Treatment,Older
16,0,Control,Older
16,1,Control,Older
16,1,Treatment,Older
16,1,Control,Older
16,1,Control,Older
16,0,Control,Older
16,1,Treatment,Older
16,1,Control,Older
16,1,Control,Older
16,1,Control,Older
16,1,Treatment,Older
16,0,Control,Older
16,0,Control,Older
16,1,Control,Older
17,1,Treatment,Older
17,1,Treatment,Older
17,0,Control,Older
17,1,Treatment,Older
17,1,Control,Older
17,0,Treatment,Older
17,1,Control,Older
17,1,Control,Older
17,1,Control,Older
17,1,Control,Older
17,1,Control,Older
17,0,Treatment,Older
17,1,Control,Older
17,1,Treatment,Older
17,0,Treatment,Older
17,0,Treatment,Older
17,1,Control,Older
17,1,Treatment,Older
17,1,Control,Older
17,1,Treatment,Older
17,0,Control,Older
17,1,Treatment,Older
17,1,Control,Older
17,1,Control,Older
17,1,Treatment,Older
17,0,Treatment,Older
17,1,Treatment,Older
17,1,Treatment,Older
17,1,Control,Older
17,1,Treatment,Older
17,1,Control,Older
17,1,Treatment,Older
17,1,Control,Older
17,1,Control,Older
17,1,Control,Older
17,0,Control,Older
17,1,Treatment,Older
17,0,Treatment,Older
17,1,Control,Older
17,0,Control,Older
17,1,Treatment,Older
17,0,Control,Older
17,1,Control,Older
17,1,Treatment,Older
17,1,Control,Older
17,0,Treatment,Older
17,1,Control,Older
17,0,Treatment,Older
17,1,Treatment,Older
17,1,Treatment,Older
17,1,Treatment,Older
17,0,Treatment,Older
17,0,Control,Older
17,1,Treatment,Older
17,1,Control,Older
17,1,Treatment,Older
17,1,Treatment,Older
17,1,Control,Older
17,1,Treatment,Older
17,1,Control,Older
17,1,Treatment,Older
17,1,Control,Older
17,1,Control,Older
17,1,Control,Older
18,1,Treatment,Older
18,1,Control,Older
18,1,Treatment,Older
18,1,Treatment,Older
18,0,Treatment,Older
18,1,Control,Older
18,1,Treatment,Older
18,0,Control,Older
18,1,Control,Older
18,0,Control,Older
18,1,Treatment,Older
18,1,Treatment,Older
18,1,Treatment,Older
18,1,Control,Older
18,1,Control,Older
18,1,Treatment,Older
18,1,Control,Older
18,1,Treatment,Older
18,1,Treatment,Older
18,0,Control,Older
18,1,Treatment,Older
18,1,Control,Older
18,1,Treatment,Older
18,1,Treatment,Older
18,1,Control,Older
18,1,Control,Older
18,0,Control,Older
18,1,Control,Older
18,1,Control,Older
18,1,Treatment,Older
18,1,Treatment,Older
18,0,Control,Older
18,0,Control,Older
18,1,Treatment,Older
18,1,Treatment,Older
18,1,Control,Older
18,1,Treatment,Older
18,1,Treatment,Older
18,1,Control,Older
18,1,Treatment,Older
18,1,Control,Older
18,1,Treatment,Older
18,0,Control,Older
18,1,Treatment,Older
18,0,Treatment,Older
18,1,Control,Older
18,1,Treatment,Older
18,1,Control,Older
18,1,Treatment,Older
18,1,Treatment,Older
18,1,Control,Older
18,0,Control,Older
18,1,Treatment,Older
18,1,Control,Older
18,1,Control,Older
18,1,Control,Older
18,1,Control,Older
18,1,Treatment,Older
18,1,Treatment,Older
18,1,Control,Older
18,1,Treatment,Older
18,1,Control,Older
18,1,Control,Older
18,1,Treatment,Older
19,1,Treatment,Older
19,1,Control,Older
19,1,Treatment,Older
19,1,Treatment,Older
19,0,Control,Older
19,1,Treatment,Older
19,1,Treatment,Older
19,1,Treatment,Older
19,1,Control,Older
19,1,Control,Older
19,1,Treatment,Older
19,1,Treatment,Older
19,1,Treatment,Older
19,1,Control,Older
19,1,Control,Older
19,1,Treatment,Older
19,1,Control,Older
19,1,Treatment,Older
19,1,Treatment,Older
19,1,Control,Older
19,1,Control,Older
19,1,Control,Older
19,1,Treatment,Older
19,1,Control,Older
19,1,Treatment,Older
19,1,Treatment,Older
19,1,Control,Older
19,1,Control,Older
19,1,Treatment,Older
19,1,Treatment,Older
19,1,Treatment,Older
19,1,Control,Older
19,1,Treatment,Older
19,1,Control,Older
19,1,Control,Older
19,1,Treatment,Older
19,1,Control,Older
19,1,Treatment,Older
19,1,Treatment,Older
19,1,Control,Older
19,1,Treatment,Older
19,1,Control,Older
19,1,Control,Older
19,1,Treatment,Older
19,1,Treatment,Older
19,1,Control,Older
19,1,Control,Older
19,1,Treatment,Older
19,1,Treatment,Older
19,0,Control,Older
19,1,Control,Older
19,1,Control,Older
19,1,Treatment,Older
19,1,Control,Older
19,1,Treatment,Older
19,1,Treatment,Older
19,1,Control,Older
19,1,Treatment,Older
19,1,Control,Older
19,1,Control,Older
19,1,Control,Older
19,1,Control,Older
19,1,Treatment,Older
19,1,Control,Older
20,0,Treatment,Older
20,0,Control,Older
20,1,Treatment,Older
20,0,Treatment,Older
20,1,Control,Older
20,1,Treatment,Older
20,1,Treatment,Older
20,1,Control,Older
20,1,Control,Older
20,1,Treatment,Older
20,1,Control,Older
20,1,Control,Older
20,1,Treatment,Older
20,1,Control,Older
20,1,Treatment,Older
20,1,Control,Older
20,1,Treatment,Older
20,0,Control,Older
20,1,Treatment,Older
20,1,Control,Older
20,1,Control,Older
20,0,Treatment,Older
20,0,Control,Older
20,1,Control,Older
20,1,Control,Older
20,1,Control,Older
20,1,Treatment,Older
20,1,Treatment,Older
20,1,Treatment,Older
20,1,Treatment,Older
20,0,Treatment,Older
20,1,Control,Older
20,1,Control,Older
20,0,Treatment,Older
20,1,Treatment,Older
20,1,Control,Older
20,1,Treatment,Older
20,0,Control,Older
20,0,Control,Older
20,0,Control,Older
20,1,Treatment,Older
20,1,Treatment,Older
20,1,Control,Older
20,1,Treatment,Older
20,0,Treatment,Older
20,1,Treatment,Older
20,0,Control,Older
20,0,Control,Older
20,1,Control,Older
20,0,Control,Older
20,0,Treatment,Older
20,0,Control,Older
