SubID,Accuracy,Condition
4,1,Condition 2
4,1,Condition 1
4,1,Condition 2
4,1,Condition 1
4,1,Condition 2
4,1,Condition 2
4,0,Condition 1
4,0,Condition 1
4,1,Condition 2
4,0,Condition 1
4,1,Condition 2
4,0,Condition 2
4,1,Condition 2
4,1,Condition 1
4,0,Condition 1
4,1,Condition 1
4,1,Condition 2
4,1,Condition 1
4,1,Condition 1
4,1,Condition 2
4,1,Condition 2
4,1,Condition 1
4,1,Condition 2
4,1,Condition 2
4,1,Condition 2
4,1,Condition 2
4,1,Condition 2
4,1,Condition 1
4,1,Condition 1
4,1,Condition 2
4,1,Condition 1
4,1,Condition 1
4,1,Condition 2
4,1,Condition 1
4,1,Condition 1
4,1,Condition 2
4,0,Condition 1
4,1,Condition 1
4,1,Condition 2
4,1,Condition 2
4,1,Condition 2
4,1,Condition 1
4,0,Condition 1
4,0,Condition 2
4,1,Condition 1
4,1,Condition 2
4,0,Condition 2
4,1,Condition 1
4,1,Condition 2
4,1,Condition 2
4,0,Condition 1
4,1,Condition 2
4,1,Condition 1
4,1,Condition 2
4,1,Condition 1
5,1,Condition 1
5,0,Condition 1
5,1,Condition 2
5,0,Condition 1
5,1,Condition 2
5,1,Condition 1
5,1,Condition 1
5,0,Condition 2
5,1,Condition 2
5,1,Condition 1
5,1,Condition 2
5,1,Condition 1
5,1,Condition 2
5,0,Condition 1
5,1,Condition 1
5,1,Condition 1
5,1,Condition 2
5,1,Condition 1
5,1,Condition 2
5,1,Condition 1
5,1,Condition 2
5,1,Condition 2
5,1,Condition 2
5,1,Condition 2
5,0,Condition 1
5,1,Condition 2
5,0,Condition 1
5,1,Condition 1
5,1,Condition 1
5,1,Condition 2
5,1,Condition 2
5,0,Condition 1
5,1,Condition 2
5,1,Condition 1
5,1,Condition 2
5,0,Condition 1
5,1,Condition 2
5,0,Condition 1
5,1,Condition 2
5,0,Condition 2
5,0,Condition 2
5,1,Condition 2
5,1,Condition 1
5,1,Condition 2
5,1,Condition 1
5,1,Condition 2
5,1,Condition 2
5,1,Condition 1
5,1,Condition 2
5,1,Condition 2
5,1,Condition 1
5,1,Condition 1
5,1,Condition 1
5,1,Condition 2
5,1,Condition 1
5,0,Condition 2
5,1,Condition 2
5,1,Condition 2
5,1,Condition 1
5,1,Condition 1
5,1,Condition 1
5,1,Condition 1
5,1,Condition 2
5,1,Condition 1
6,1,Condition 1
6,0,Condition 2
6,1,Condition 2
6,1,Condition 1
6,0,Condition 2
6,1,Condition 2
6,1,Condition 2
6,1,Condition 1
6,1,Condition 1
6,1,Condition 2
6,1,Condition 2
6,0,Condition 2
6,1,Condition 1
6,1,Condition 1
6,1,Condition 2
6,1,Condition 2
6,1,Condition 1
6,1,Condition 1
6,1,Condition 1
6,1,Condition 2
6,1,Condition 2
6,1,Condition 1
6,1,Condition 1
6,1,Condition 2
6,1,Condition 1
6,1,Condition 1
6,1,Condition 1
6,1,Condition 2
6,1,Condition 2
6,1,Condition 2
6,0,Condition 2
6,1,Condition 1
6,0,Condition 2
6,1,Condition 1
6,1,Condition 1
6,1,Condition 1
6,1,Condition 2
6,1,Condition 2
6,0,Condition 1
6,1,Condition 1
6,1,Condition 2
6,1,Condition 2
6,1,Condition 2
6,1,Condition 1
6,1,Condition 1
6,0,Condition 2
6,1,Condition 2
6,1,Condition 1
6,0,Condition 2
6,1,Condition 2
6,1,Condition 2
6,1,Condition 2
6,1,Condition 1
6,1,Condition 1
6,1,Condition 1
6,1,Condition 2
6,0,Condition 1
6,1,Condition 2
6,1,Condition 1
6,1,Condition 1
6,1,Condition 1
6,0,Condition 1
6,1,Condition 2
6,1,Condition 1
7,0,Condition 2
7,0,Condition 2
7,0,Condition 2
7,1,Condition 1
7,1,Condition 2
7,1,Condition 2
7,1,Condition 1
7,1,Condition 1
7,1,Condition 1
7,1,Condition 1
7,1,Condition 1
7,1,Condition 2
7,0,Condition 1
7,1,Condition 2
7,0,Condition 1
7,1,Condition 1
7,1,Condition 1
7,1,Condition 2
7,1,Condition 1
7,1,Condition 2
7,1,Condition 1
7,0,Condition 1
7,0,Condition 1
7,1,Condition 2
7,1,Condition 2
7,1,Condition 2
7,1,Condition 1
7,1,Condition 2
7,1,Condition 1
7,0,Condition 1
7,1,Condition 2
7,1,Condition 2
7,1,Condition 1
7,1,Condition 2
7,1,Condition 2
7,1,Condition 2
7,1,Condition 2
7,1,Condition 1
7,1,Condition 2
7,1,Condition 2
7,1,Condition 1
7,0,Condition 1
7,1,Condition 2
7,1,Condition 2
7,1,Condition 1
7,1,Condition 1
7,1,Condition 2
7,1,Condition 2
7,1,Condition 2
7,1,Condition 2
7,1,Condition 1
7,1,Condition 2
7,1,Condition 1
7,1,Condition 1
7,1,Condition 2
7,1,Condition 2
7,1,Condition 2
7,0,Condition 1
7,1,Condition 1
7,1,Condition 1
7,1,Condition 1
7,1,Condition 2
7,1,Condition 1
7,1,Condition 1
8,1,Condition 2
8,1,Condition 2
8,0,Condition 1
8,1,Condition 2
8,1,Condition 2
8,1,Condition 2
8,1,Condition 2
8,1,Condition 1
8,0,Condition 1
8,1,Condition 2
8,1,Condition 1
8,1,Condition 1
8,1,Condition 1
8,1,Condition 1
8,0,Condition 1
8,1,Condition 2
8,1,Condition 1
8,1,Condition 2
8,1,Condition 2
8,1,Condition 1
8,0,Condition 1
8,1,Condition 1
8,1,Condition 2
8,0,Condition 1
8,1,Condition 2
8,1,Condition 2
8,1,Condition 2
8,1,Condition 1
8,1,Condition 2
8,0,Condition 1
8,0,Condition 1
8,1,Condition 2
8,1,Condition 1
8,0,Condition 1
8,1,Condition 2
8,0,Condition 2
8,1,Condition 1
8,1,Condition 1
8,1,Condition 2
8,1,Condition 2
8,1,Condition 1
8,1,Condition 2
8,0,Condition 1
8,1,Condition 2
8,1,Condition 2
8,1,Condition 2
8,1,Condition 2
8,1,Condition 1
8,1,Condition 1
8,1,Condition 1
8,1,Condition 2
8,1,Condition 2
8,1,Condition 1
8,1,Condition 2
8,1,Condition 1
8,1,Condition 2
8,0,Condition 1
8,0,Condition 2
8,1,Condition 1
8,1,Condition 1
8,0,Condition 1
8,1,Condition 1
8,1,Condition 2
8,0,Condition 2
9,1,Condition 1
9,1,Condition 1
9,1,Condition 1
9,1,Condition 2
9,1,Condition 1
9,1,Condition 2
9,1,Condition 2
9,0,Condition 1
9,0,Condition 2
9,1,Condition 2
9,1,Condition 1
9,0,Condition 1
9,0,Condition 1
9,1,Condition 2
9,1,Condition 1
9,1,Condition 1
9,1,Condition 2
9,1,Condition 2
9,1,Condition 1
9,1,Condition 2
9,1,Condition 2
9,1,Condition 2
9,0,Condition 1
9,0,Condition 1
9,1,Condition 1
9,0,Condition 2
9,1,Condition 1
9,1,Condition 1
9,1,Condition 2
9,1,Condition 1
9,1,Condition 2
9,1,Condition 2
9,1,Condition 1
9,1,Condition 1
9,1,Condition 2
9,1,Condition 2
9,1,Condition 1
9,1,Condition 2
9,1,Condition 2
9,1,Condition 2
9,0,Condition 1
9,0,Condition 1
9,1,Condition 1
9,1,Condition 2
9,1,Condition 1
9,1,Condition 2
9,1,Condition 1
9,1,Condition 2
9,1,Condition 2
9,1,Condition 2
9,1,Condition 1
9,1,Condition 2
9,1,Condition 2
9,1,Condition 2
9,1,Condition 2
9,1,Condition 1
9,1,Condition 1
9,1,Condition 1
9,1,Condition 2
9,1,Condition 1
9,1,Condition 1
9,1,Condition 2
9,1,Condition 2
9,1,Condition 1
10,1,Condition 1
10,1,Condition 1
10,1,Condition 2
10,0,Condition 2
10,1,Condition 1
10,0,Condition 1
10,1,Condition 1
10,0,Condition 2
10,0,Condition 1
10,0,Condition 1
10,0,Condition 1
10,1,Condition 2
10,1,Condition 2
10,0,Condition 2
10,1,Condition 1
10,1,Condition 1
10,1,Condition 1
10,1,Condition 2
10,0,Condition 2
10,1,Condition 2
10,0,Condition 1
10,0,Condition 1
10,0,Condition 2
10,1,Condition 1
10,1,Condition 1
10,0,Condition 2
10,1,Condition 1
10,1,Condition 1
10,1,Condition 2
10,0,Condition 1
10,0,Condition 1
10,0,Condition 2
10,1,Condition 2
10,1,Condition 2
10,1,Condition 1
10,1,Condition 1
10,1,Condition 1
10,1,Condition 2
10,0,Condition 1
10,1,Condition 2
10,0,Condition 2
10,1,Condition 2
10,1,Condition 2
10,0,Condition 2
10,0,Condition 1
10,0,Condition 2
10,1,Condition 1
10,0,Condition 2
10,0,Condition 2
10,1,Condition 2
10,0,Condition 1
10,1,Condition 2
10,0,Condition 2
10,0,Condition 2
10,1,Condition 1
10,0,Condition 1
10,1,Condition 1
10,1,Condition 1
10,0,Condition 1
10,0,Condition 2
10,0,Condition 2
10,1,Condition 2
10,1,Condition 2
10,0,Condition 1
11,1,Condition 2
11,1,Condition 2
11,1,Condition 2
11,1,Condition 1
11,1,Condition 2
11,1,Condition 1
11,1,Condition 1
11,1,Condition 2
11,0,Condition 1
11,1,Condition 2
11,1,Condition 1
11,1,Condition 2
11,1,Condition 1
11,1,Condition 1
11,1,Condition 1
11,0,Condition 2
11,0,Condition 2
11,1,Condition 1
11,1,Condition 1
11,1,Condition 2
11,1,Condition 1
11,1,Condition 1
11,1,Condition 2
11,1,Condition 2
11,1,Condition 2
11,1,Condition 2
11,1,Condition 1
11,1,Condition 2
11,1,Condition 1
11,1,Condition 2
11,1,Condition 1
11,1,Condition 1
11,1,Condition 1
11,0,Condition 1
11,1,Condition 1
11,1,Condition 2
11,1,Condition 1
11,1,Condition 2
11,1,Condition 2
11,1,Condition 2
11,1,Condition 2
11,1,Condition 2
11,0,Condition 1
11,1,Condition 2
11,0,Condition 2
11,1,Condition 1
11,1,Condition 1
11,1,Condition 1
11,0,Condition 1
11,1,Condition 1
11,1,Condition 1
11,1,Condition 2
11,1,Condition 2
11,0,Condition 1
11,1,Condition 2
11,1,Condition 2
11,1,Condition 2
11,1,Condition 1
11,1,Condition 2
11,1,Condition 1
11,1,Condition 2
11,1,Condition 1
11,1,Condition 2
11,1,Condition 1
12,0,Condition 2
12,0,Condition 2
12,1,Condition 1
12,1,Condition 2
12,0,Condition 1
12,0,Condition 2
12,1,Condition 2
12,1,Condition 1
12,0,Condition 1
12,1,Condition 1
12,0,Condition 2
12,1,Condition 2
12,1,Condition 1
12,0,Condition 1
12,1,Condition 1
12,1,Condition 2
12,0,Condition 2
12,0,Condition 1
12,1,Condition 2
12,0,Condition 1
12,1,Condition 2
12,1,Condition 1
12,0,Condition 2
12,1,Condition 1
12,1,Condition 1
12,1,Condition 2
12,0,Condition 1
12,1,Condition 1
12,0,Condition 2
12,1,Condition 2
12,0,Condition 2
12,0,Condition 1
12,1,Condition 1
12,1,Condition 1
12,1,Condition 1
12,0,Condition 2
12,1,Condition 1
12,1,Condition 1
12,1,Condition 1
12,1,Condition 2
12,0,Condition 1
12,0,Condition 2
12,0,Condition 1
12,0,Condition 2
12,0,Condition 1
12,1,Condition 1
12,1,Condition 1
12,1,Condition 2
12,0,Condition 2
12,1,Condition 1
12,0,Condition 2
12,1,Condition 2
12,0,Condition 1
12,0,Condition 2
12,1,Condition 1
12,0,Condition 2
12,0,Condition 2
12,1,Condition 2
12,1,Condition 1
12,0,Condition 2
12,0,Condition 2
12,1,Condition 1
12,0,Condition 2
12,1,Condition 2
13,1,Condition 2
13,0,Condition 2
13,1,Condition 1
13,1,Condition 1
13,1,Condition 2
13,1,Condition 2
13,1,Condition 2
13,1,Condition 1
13,1,Condition 1
13,1,Condition 2
13,0,Condition 2
13,1,Condition 1
13,1,Condition 1
13,1,Condition 2
13,1,Condition 2
13,1,Condition 2
13,1,Condition 2
13,1,Condition 2
13,1,Condition 2
13,1,Condition 2
13,1,Condition 2
13,1,Condition 1
13,1,Condition 1
13,1,Condition 2
13,1,Condition 2
13,0,Condition 2
13,1,Condition 1
13,1,Condition 1
13,1,Condition 1
13,1,Condition 1
13,1,Condition 2
13,1,Condition 1
13,1,Condition 1
13,0,Condition 1
13,1,Condition 1
13,1,Condition 1
13,1,Condition 2
13,0,Condition 1
13,1,Condition 2
13,1,Condition 1
13,1,Condition 1
13,1,Condition 1
13,1,Condition 1
13,1,Condition 2
13,0,Condition 1
13,0,Condition 2
13,1,Condition 2
13,1,Condition 1
13,1,Condition 2
13,1,Condition 1
13,1,Condition 1
13,1,Condition 2
13,1,Condition 1
13,1,Condition 2
13,1,Condition 1
13,1,Condition 2
13,0,Condition 1
13,1,Condition 2
13,1,Condition 1
13,1,Condition 1
13,1,Condition 2
13,0,Condition 2
13,1,Condition 2
13,1,Condition 1
14,0,Condition 1
14,1,Condition 2
14,1,Condition 1
14,0,Condition 2
14,1,Condition 2
14,0,Condition 1
14,1,Condition 2
14,0,Condition 2
14,1,Condition 1
14,0,Condition 1
14,1,Condition 1
14,0,Condition 2
14,0,Condition 2
14,0,Condition 2
14,0,Condition 2
14,0,Condition 2
14,0,Condition 1
14,1,Condition 1
14,1,Condition 2
14,0,Condition 1
14,1,Condition 2
14,1,Condition 2
14,1,Condition 2
14,1,Condition 2
14,0,Condition 2
14,1,Condition 1
14,1,Condition 2
14,0,Condition 1
14,0,Condition 1
14,1,Condition 2
14,1,Condition 2
14,0,Condition 1
14,1,Condition 2
14,1,Condition 2
14,1,Condition 2
14,0,Condition 1
14,0,Condition 1
14,1,Condition 2
14,0,Condition 1
14,0,Condition 2
14,1,Condition 2
14,1,Condition 1
14,1,Condition 1
14,0,Condition 1
14,0,Condition 1
14,0,Condition 1
14,0,Condition 1
14,1,Condition 2
14,1,Condition 2
14,0,Condition 1
14,0,Condition 2
14,0,Condition 1
14,1,Condition 2
14,1,Condition 1
14,1,Condition 1
14,1,Condition 1
14,0,Condition 1
14,0,Condition 1
14,0,Condition 2
14,1,Condition 1
14,1,Condition 2
14,1,Condition 1
14,1,Condition 2
14,1,Condition 1
15,1,Condition 1
15,1,Condition 1
15,1,Condition 2
15,0,Condition 1
15,1,Condition 2
15,0,Condition 2
15,1,Condition 2
15,0,Condition 1
15,1,Condition 1
15,1,Condition 1
15,1,Condition 2
15,0,Condition 1
15,1,Condition 2
15,1,Condition 2
15,1,Condition 1
15,1,Condition 1
15,1,Condition 2
15,1,Condition 2
15,1,Condition 2
15,1,Condition 1
15,1,Condition 1
15,1,Condition 1
15,1,Condition 1
15,1,Condition 2
15,1,Condition 1
15,1,Condition 1
15,1,Condition 1
15,1,Condition 2
15,1,Condition 2
15,1,Condition 1
15,1,Condition 2
15,1,Condition 1
15,1,Condition 2
15,1,Condition 1
15,1,Condition 1
15,1,Condition 1
15,1,Condition 2
15,1,Condition 1
15,0,Condition 1
15,1,Condition 1
15,1,Condition 2
15,1,Condition 2
15,1,Condition 2
15,1,Condition 1
15,1,Condition 2
15,1,Condition 2
15,1,Condition 2
15,1,Condition 1
15,1,Condition 2
15,0,Condition 2
15,1,Condition 2
15,1,Condition 2
15,1,Condition 1
15,1,Condition 1
15,1,Condition 2
15,1,Condition 2
15,1,Condition 2
15,1,Condition 1
15,1,Condition 2
15,1,Condition 1
15,1,Condition 1
15,1,Condition 2
15,1,Condition 1
15,1,Condition 2
16,1,Condition 2
16,1,Condition 1
16,1,Condition 1
16,1,Condition 2
16,1,Condition 1
16,1,Condition 1
16,1,Condition 1
16,0,Condition 1
16,1,Condition 1
16,1,Condition 2
16,1,Condition 2
16,1,Condition 2
16,1,Condition 2
16,1,Condition 1
16,1,Condition 1
16,1,Condition 2
16,1,Condition 2
16,1,Condition 2
16,0,Condition 2
16,1,Condition 2
16,1,Condition 2
16,1,Condition 1
16,0,Condition 1
16,1,Condition 2
16,1,Condition 2
16,1,Condition 2
16,1,Condition 1
16,1,Condition 2
16,1,Condition 1
16,1,Condition 2
16,1,Condition 2
16,1,Condition 1
16,1,Condition 2
16,1,Condition 1
16,1,Condition 1
16,1,Condition 1
16,1,Condition 1
16,1,Condition 2
16,1,Condition 2
16,1,Condition 1
16,1,Condition 1
16,1,Condition 2
16,1,Condition 2
16,1,Condition 1
16,1,Condition 2
16,1,Condition 2
16,1,Condition 2
16,1,Condition 1
16,1,Condition 2
16,0,Condition 1
16,1,Condition 2
16,0,Condition 1
16,1,Condition 1
16,1,Condition 2
16,0,Condition 1
16,0,Condition 2
16,1,Condition 2
16,1,Condition 1
16,1,Condition 1
16,1,Condition 1
16,1,Condition 1
16,1,Condition 1
16,1,Condition 1
16,1,Condition 2
17,1,Condition 2
17,1,Condition 2
17,1,Condition 1
17,1,Condition 2
17,1,Condition 2
17,1,Condition 2
17,1,Condition 1
17,1,Condition 1
17,1,Condition 1
17,1,Condition 1
17,1,Condition 1
17,1,Condition 2
17,1,Condition 1
17,0,Condition 2
17,1,Condition 1
17,1,Condition 2
17,0,Condition 2
17,1,Condition 1
17,1,Condition 1
17,1,Condition 1
17,1,Condition 1
17,1,Condition 2
17,0,Condition 2
17,1,Condition 1
17,0,Condition 1
17,1,Condition 1
17,0,Condition 2
17,1,Condition 1
17,1,Condition 2
17,1,Condition 2
17,1,Condition 2
17,1,Condition 2
17,1,Condition 1
17,1,Condition 2
17,1,Condition 2
17,1,Condition 1
17,1,Condition 1
17,1,Condition 1
17,1,Condition 2
17,1,Condition 2
17,1,Condition 1
17,1,Condition 1
17,1,Condition 1
17,0,Condition 1
17,0,Condition 2
17,1,Condition 2
17,1,Condition 1
17,1,Condition 2
17,1,Condition 2
17,1,Condition 2
17,1,Condition 1
17,1,Condition 1
17,0,Condition 1
17,1,Condition 1
17,1,Condition 2
17,1,Condition 1
17,1,Condition 2
17,1,Condition 1
17,1,Condition 1
17,1,Condition 2
17,1,Condition 2
17,1,Condition 2
17,1,Condition 2
17,1,Condition 2
18,1,Condition 1
18,1,Condition 1
18,1,Condition 1
18,1,Condition 1
18,1,Condition 2
18,1,Condition 2
18,1,Condition 2
18,1,Condition 2
18,0,Condition 1
18,1,Condition 2
18,1,Condition 1
18,1,Condition 2
18,1,Condition 1
18,1,Condition 1
18,1,Condition 1
18,1,Condition 2
18,1,Condition 1
18,1,Condition 1
18,1,Condition 2
18,1,Condition 2
18,1,Condition 1
18,1,Condition 2
18,1,Condition 1
18,1,Condition 1
18,0,Condition 2
18,1,Condition 2
18,0,Condition 1
18,1,Condition 2
18,1,Condition 2
18,1,Condition 1
18,1,Condition 1
18,1,Condition 2
18,1,Condition 2
18,1,Condition 1
18,1,Condition 2
18,1,Condition 2
18,1,Condition 2
18,0,Condition 1
18,1,Condition 2
18,1,Condition 1
18,1,Condition 2
18,1,Condition 1
18,1,Condition 2
18,1,Condition 1
18,1,Condition 2
18,1,Condition 1
18,1,Condition 1
18,1,Condition 1
18,1,Condition 2
18,1,Condition 2
18,1,Condition 1
18,1,Condition 1
18,1,Condition 2
18,1,Condition 2
18,1,Condition 2
18,1,Condition 2
18,1,Condition 1
18,1,Condition 1
18,1,Condition 2
18,1,Condition 1
18,1,Condition 1
18,1,Condition 2
18,1,Condition 2
18,1,Condition 1
19,0,Condition 1
19,1,Condition 1
19,1,Condition 1
19,0,Condition 1
19,1,Condition 1
19,1,Condition 2
19,1,Condition 2
19,1,Condition 1
19,0,Condition 1
19,0,Condition 2
19,1,Condition 2
19,1,Condition 2
19,1,Condition 2
19,0,Condition 2
19,1,Condition 1
19,0,Condition 2
19,0,Condition 1
19,0,Condition 1
19,1,Condition 2
19,0,Condition 2
19,1,Condition 2
19,0,Condition 2
19,1,Condition 2
19,0,Condition 2
19,0,Condition 2
19,1,Condition 1
19,1,Condition 2
19,1,Condition 1
19,1,Condition 2
19,0,Condition 1
19,1,Condition 1
19,0,Condition 1
19,0,Condition 2
19,1,Condition 2
19,1,Condition 1
19,1,Condition 1
19,0,Condition 2
19,0,Condition 1
19,1,Condition 2
19,0,Condition 1
19,1,Condition 2
19,1,Condition 1
19,0,Condition 2
19,1,Condition 1
19,1,Condition 1
19,0,Condition 1
19,0,Condition 1
19,0,Condition 1
19,0,Condition 1
19,0,Condition 2
19,1,Condition 2
19,0,Condition 2
19,1,Condition 2
19,0,Condition 2
19,1,Condition 2
19,1,Condition 1
19,0,Condition 2
19,0,Condition 1
19,1,Condition 1
19,0,Condition 2
19,1,Condition 1
19,0,Condition 2
19,1,Condition 1
19,0,Condition 1
20,1,Condition 2
20,1,Condition 2
20,1,Condition 1
20,1,Condition 1
20,1,Condition 1
20,1,Condition 2
20,1,Condition 2
20,1,Condition 2
20,0,Condition 1
20,1,Condition 2
20,1,Condition 1
20,1,Condition 1
20,0,Condition 1
20,1,Condition 1
20,1,Condition 2
20,1,Condition 1
20,1,Condition 2
20,0,Condition 1
20,1,Condition 1
20,1,Condition 1
20,1,Condition 1
20,1,Condition 1
20,1,Condition 2
20,0,Condition 1
20,1,Condition 1
20,1,Condition 1
20,1,Condition 1
20,1,Condition 1
20,1,Condition 2
20,0,Condition 2
20,0,Condition 1
20,1,Condition 1
20,1,Condition 2
20,0,Condition 2
20,1,Condition 1
20,1,Condition 2
20,1,Condition 2
20,1,Condition 2
20,1,Condition 1
20,1,Condition 2
20,1,Condition 2
20,1,Condition 1
20,1,Condition 1
20,1,Condition 2
20,1,Condition 2
20,1,Condition 2
20,0,Condition 2
20,1,Condition 2
20,1,Condition 2
20,1,Condition 2
20,1,Condition 1
20,1,Condition 2
20,0,Condition 1
20,1,Condition 2
20,0,Condition 1
20,1,Condition 2
20,1,Condition 2
20,1,Condition 2
20,1,Condition 2
20,1,Condition 1
20,1,Condition 1
20,1,Condition 1
20,1,Condition 2
20,1,Condition 1
21,1,Condition 1
21,1,Condition 2
21,1,Condition 2
21,1,Condition 1
21,1,Condition 1
21,1,Condition 2
21,1,Condition 2
21,1,Condition 1
21,0,Condition 1
21,1,Condition 2
21,1,Condition 2
21,1,Condition 1
21,0,Condition 1
21,0,Condition 1
21,1,Condition 1
21,1,Condition 1
21,1,Condition 1
21,1,Condition 1
21,1,Condition 1
21,0,Condition 1
21,1,Condition 2
21,1,Condition 2
21,0,Condition 1
21,1,Condition 2
21,1,Condition 1
21,1,Condition 2
21,0,Condition 2
21,1,Condition 2
21,1,Condition 1
21,1,Condition 1
21,1,Condition 1
21,1,Condition 2
21,1,Condition 2
21,1,Condition 2
21,1,Condition 2
21,1,Condition 2
21,1,Condition 2
21,1,Condition 1
21,1,Condition 2
21,1,Condition 1
21,0,Condition 1
21,1,Condition 2
21,1,Condition 2
21,1,Condition 2
21,1,Condition 2
21,0,Condition 2
21,1,Condition 1
21,1,Condition 1
21,1,Condition 2
21,1,Condition 1
21,1,Condition 1
21,1,Condition 2
21,1,Condition 2
21,1,Condition 1
21,1,Condition 2
21,1,Condition 1
21,1,Condition 1
21,1,Condition 2
21,1,Condition 1
21,1,Condition 2
21,1,Condition 2
21,1,Condition 1
21,0,Condition 1
21,1,Condition 2
22,1,Condition 1
22,1,Condition 2
22,1,Condition 1
22,1,Condition 1
22,1,Condition 1
22,1,Condition 1
22,1,Condition 1
22,1,Condition 1
22,1,Condition 2
22,1,Condition 2
22,1,Condition 2
22,0,Condition 2
22,1,Condition 1
22,1,Condition 1
22,1,Condition 2
22,1,Condition 2
22,1,Condition 2
22,0,Condition 2
22,1,Condition 2
22,1,Condition 1
22,1,Condition 2
22,1,Condition 1
22,1,Condition 2
22,1,Condition 2
22,1,Condition 2
22,1,Condition 1
22,1,Condition 2
22,1,Condition 2
22,1,Condition 2
22,1,Condition 2
22,1,Condition 1
22,1,Condition 1
22,1,Condition 1
22,1,Condition 2
22,1,Condition 1
22,1,Condition 1
22,1,Condition 1
22,1,Condition 2
22,1,Condition 2
22,1,Condition 2
22,1,Condition 2
22,1,Condition 1
22,0,Condition 1
22,1,Condition 2
22,1,Condition 1
22,1,Condition 1
22,1,Condition 1
22,0,Condition 1
22,1,Condition 1
22,1,Condition 1
22,1,Condition 1
22,1,Condition 2
22,0,Condition 1
22,1,Condition 2
22,1,Condition 2
22,1,Condition 2
22,1,Condition 1
22,1,Condition 2
22,1,Condition 1
22,1,Condition 1
22,1,Condition 2
22,1,Condition 2
22,1,Condition 2
22,1,Condition 1
23,1,Condition 2
23,1,Condition 1
23,1,Condition 1
23,1,Condition 1
23,1,Condition 1
23,0,Condition 1
23,1,Condition 1
23,1,Condition 2
23,1,Condition 2
