SubID,Accuracy,Condition
40,0,Control
40,1,Control
40,1,Control
40,0,Control
40,1,Control
40,0,Control
40,1,Control
40,1,Control
40,1,Control
40,1,Control
40,1,Control
40,0,Control
40,1,Control
40,1,Control
40,1,Control
40,1,Control
40,1,Control
9,1,Treatment
9,1,Treatment
9,1,Treatment
9,1,Treatment
9,0,Treatment
9,1,Treatment
9,1,Treatment
9,1,Treatment
9,1,Treatment
9,1,Treatment
9,1,Treatment
9,1,Treatment
9,0,Treatment
9,1,Treatment
9,1,Treatment
9,1,Treatment
9,1,Treatment
9,1,Treatment
9,1,Treatment
9,1,Treatment
9,1,Treatment
9,1,Treatment
9,1,Treatment
9,1,Treatment
9,1,Treatment
9,1,Treatment
9,1,Treatment
9,1,Treatment
9,1,Treatment
9,1,Treatment
9,1,Treatment
9,1,Treatment
41,1,Control
41,1,Control
41,1,Control
41,1,Control
41,0,Control
41,0,Control
41,1,Control
41,1,Control
41,1,Control
41,0,Control
41,1,Control
41,1,Control
41,1,Control
41,0,Control
41,1,Control
41,1,Control
41,1,Control
41,1,Control
41,1,Control
41,0,Control
41,1,Control
41,1,Control
41,1,Control
41,1,Control
41,1,Control
41,1,Control
41,0,Control
41,1,Control
41,1,Control
41,0,Control
41,1,Control
41,1,Control
10,1,Treatment
10,1,Treatment
10,1,Treatment
10,1,Treatment
10,1,Treatment
10,0,Treatment
10,1,Treatment
10,1,Treatment
10,1,Treatment
10,1,Treatment
10,1,Treatment
10,1,Treatment
10,1,Treatment
10,1,Treatment
10,0,Treatment
10,1,Treatment
10,1,Treatment
10,0,Treatment
10,1,Treatment
10,0,Treatment
10,1,Treatment
10,1,Treatment
10,1,Treatment
10,1,Treatment
10,1,Treatment
10,1,Treatment
10,1,Treatment
10,1,Treatment
10,1,Treatment
10,1,Treatment
10,1,Treatment
10,1,Treatment
42,1,Control
42,1,Control
42,1,Control
42,1,Control
42,1,Control
42,1,Control
42,1,Control
42,1,Control
42,1,Control
42,1,Control
42,0,Control
42,1,Control
42,0,Control
42,0,Control
42,1,Control
42,1,Control
42,1,Control
42,1,Control
42,1,Control
42,1,Control
42,1,Control
42,0,Control
42,1,Control
42,1,Control
42,1,Control
42,0,Control
42,0,Control
42,1,Control
42,1,Control
42,1,Control
42,0,Control
42,1,Control
11,0,Treatment
11,1,Treatment
11,1,Treatment
11,1,Treatment
11,1,Treatment
11,1,Treatment
11,1,Treatment
11,1,Treatment
11,1,Treatment
11,1,Treatment
11,1,Treatment
11,1,Treatment
11,1,Treatment
11,0,Treatment
11,1,Treatment
11,1,Treatment
11,1,Treatment
11,1,Treatment
11,1,Treatment
11,1,Treatment
11,1,Treatment
11,1,Treatment
11,1,Treatment
11,0,Treatment
11,0,Treatment
11,0,Treatment
11,1,Treatment
11,1,Treatment
11,1,Treatment
11,1,Treatment
11,1,Treatment
11,1,Treatment
43,1,Control
43,1,Control
43,1,Control
43,1,Control
43,1,Control
43,0,Control
43,1,Control
43,0,Control
43,1,Control
43,1,Control
43,1,Control
43,1,Control
43,1,Control
43,1,Control
43,1,Control
43,1,Control
43,1,Control
43,0,Control
43,1,Control
43,1,Control
43,1,Control
43,1,Control
43,1,Control
43,0,Control
43,1,Control
43,1,Control
43,1,Control
43,0,Control
43,1,Control
43,1,Control
43,1,Control
43,1,Control
12,0,Treatment
12,0,Treatment
12,1,Treatment
12,0,Treatment
12,0,Treatment
12,1,Treatment
12,1,Treatment
12,1,Treatment
12,1,Treatment
12,0,Treatment
12,1,Treatment
12,0,Treatment
12,1,Treatment
12,1,Treatment
12,1,Treatment
12,1,Treatment
12,0,Treatment
12,1,Treatment
12,0,Treatment
12,1,Treatment
12,0,Treatment
12,1,Treatment
12,1,Treatment
12,1,Treatment
12,1,Treatment
12,0,Treatment
12,1,Treatment
12,1,Treatment
12,0,Treatment
12,1,Treatment
12,1,Treatment
12,0,Treatment
44,0,Control
44,1,Control
44,1,Control
44,0,Control
44,1,Control
44,1,Control
44,1,Control
44,1,Control
44,0,Control
44,1,Control
44,1,Control
44,1,Control
44,1,Control
44,1,Control
44,1,Control
44,0,Control
44,1,Control
44,1,Control
44,1,Control
44,0,Control
44,1,Control
44,1,Control
44,0,Control
44,1,Control
44,1,Control
44,1,Control
44,0,Control
44,0,Control
44,1,Control
44,0,Control
44,1,Control
44,1,Control
13,1,Treatment
13,0,Treatment
13,0,Treatment
13,1,Treatment
13,1,Treatment
13,1,Treatment
13,0,Treatment
13,0,Treatment
13,0,Treatment
13,1,Treatment
13,1,Treatment
13,1,Treatment
13,1,Treatment
13,1,Treatment
13,1,Treatment
13,0,Treatment
13,1,Treatment
13,0,Treatment
13,0,Treatment
13,1,Treatment
13,1,Treatment
13,1,Treatment
13,0,Treatment
13,0,Treatment
13,0,Treatment
13,0,Treatment
13,1,Treatment
13,0,Treatment
13,1,Treatment
13,1,Treatment
13,1,Treatment
13,1,Treatment
45,0,Control
45,1,Control
45,0,Control
45,0,Control
45,1,Control
45,1,Control
45,1,Control
45,1,Control
45,1,Control
45,1,Control
45,0,Control
45,0,Control
45,1,Control
45,1,Control
45,1,Control
45,1,Control
45,1,Control
45,1,Control
45,1,Control
45,0,Control
45,1,Control
45,0,Control
45,1,Control
45,1,Control
45,0,Control
45,0,Control
45,1,Control
45,1,Control
45,1,Control
45,0,Control
45,0,Control
45,0,Control
14,1,Treatment
14,1,Treatment
14,1,Treatment
14,1,Treatment
14,1,Treatment
14,1,Treatment
14,1,Treatment
14,1,Treatment
14,1,Treatment
14,0,Treatment
14,1,Treatment
14,1,Treatment
14,1,Treatment
14,1,Treatment
14,1,Treatment
14,1,Treatment
14,1,Treatment
14,1,Treatment
14,0,Treatment
14,0,Treatment
14,1,Treatment
14,1,Treatment
14,1,Treatment
14,1,Treatment
14,1,Treatment
14,1,Treatment
14,1,Treatment
14,1,Treatment
14,1,Treatment
14,1,Treatment
14,1,Treatment
14,1,Treatment
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
46,1,Control
15,1,Treatment
15,1,Treatment
15,1,Treatment
15,1,Treatment
15,1,Treatment
15,1,Treatment
15,1,Treatment
15,1,Treatment
15,1,Treatment
15,1,Treatment
15,1,Treatment
15,1,Treatment
15,0,Treatment
15,1,Treatment
15,1,Treatment
15,1,Treatment
15,1,Treatment
15,1,Treatment
15,1,Treatment
15,1,Treatment
15,1,Treatment
15,1,Treatment
15,1,Treatment
15,1,Treatment
15,1,Treatment
15,1,Treatment
15,1,Treatment
15,0,Treatment
15,1,Treatment
15,0,Treatment
15,1,Treatment
15,1,Treatment
47,0,Control
47,0,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
47,1,Control
16,0,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,0,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
16,1,Treatment
48,1,Control
48,1,Control
48,0,Control
48,1,Control
48,0,Control
48,1,Control
48,1,Control
48,1,Control
48,1,Control
48,1,Control
48,1,Control
48,1,Control
48,0,Control
48,1,Control
48,1,Control
48,1,Control
48,1,Control
48,1,Control
48,1,Control
48,1,Control
48,1,Control
48,0,Control
48,0,Control
48,1,Control
48,1,Control
48,1,Control
48,1,Control
48,1,Control
48,0,Control
48,1,Control
48,0,Control
48,1,Control
17,0,Treatment
17,1,Treatment
17,1,Treatment
17,1,Treatment
17,1,Treatment
17,1,Treatment
17,1,Treatment
17,1,Treatment
17,1,Treatment
17,1,Treatment
17,0,Treatment
17,1,Treatment
17,1,Treatment
17,1,Treatment
17,1,Treatment
17,1,Treatment
17,1,Treatment
17,1,Treatment
17,1,Treatment
17,1,Treatment
17,1,Treatment
17,1,Treatment
17,0,Treatment
17,1,Treatment
17,1,Treatment
17,1,Treatment
17,1,Treatment
17,1,Treatment
17,1,Treatment
17,1,Treatment
17,1,Treatment
17,1,Treatment
49,1,Control
49,0,Control
49,0,Control
49,1,Control
49,1,Control
49,0,Control
49,1,Control
49,0,Control
49,1,Control
49,0,Control
49,0,Control
49,1,Control
49,1,Control
49,1,Control
49,0,Control
49,0,Control
49,1,Control
49,1,Control
49,1,Control
49,0,Control
49,1,Control
49,1,Control
49,1,Control
49,1,Control
49,1,Control
49,1,Control
49,1,Control
49,1,Control
49,1,Control
49,1,Control
49,1,Control
49,0,Control
18,0,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,0,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
18,1,Treatment
50,1,Control
50,1,Control
50,1,Control
50,1,Control
50,1,Control
50,1,Control
50,1,Control
50,1,Control
50,1,Control
50,0,Control
50,1,Control
50,1,Control
50,1,Control
50,1,Control
50,1,Control
50,1,Control
50,1,Control
50,1,Control
50,1,Control
50,0,Control
50,1,Control
50,0,Control
50,1,Control
50,0,Control
50,1,Control
50,1,Control
50,1,Control
50,1,Control
50,1,Control
50,1,Control
50,1,Control
50,1,Control
19,1,Treatment
19,1,Treatment
19,1,Treatment
19,1,Treatment
19,1,Treatment
19,0,Treatment
19,1,Treatment
19,1,Treatment
19,0,Treatment
19,1,Treatment
19,1,Treatment
19,1,Treatment
19,1,Treatment
19,1,Treatment
19,1,Treatment
19,1,Treatment
19,0,Treatment
19,1,Treatment
19,1,Treatment
19,1,Treatment
19,1,Treatment
19,1,Treatment
19,1,Treatment
19,0,Treatment
19,1,Treatment
19,1,Treatment
19,1,Treatment
19,1,Treatment
19,0,Treatment
19,1,Treatment
19,1,Treatment
19,1,Treatment
51,1,Control
51,1,Control
51,1,Control
51,1,Control
51,1,Control
51,0,Control
51,0,Control
51,0,Control
51,0,Control
51,0,Control
51,1,Control
51,1,Control
51,1,Control
51,1,Control
51,1,Control
51,1,Control
51,0,Control
51,1,Control
51,1,Control
51,0,Control
51,1,Control
51,1,Control
51,0,Control
51,1,Control
51,1,Control
51,1,Control
51,1,Control
51,1,Control
51,0,Control
51,1,Control
51,1,Control
51,1,Control
20,1,Treatment
20,1,Treatment
20,0,Treatment
20,0,Treatment
20,0,Treatment
20,1,Treatment
20,1,Treatment
20,1,Treatment
20,0,Treatment
20,0,Treatment
20,0,Treatment
20,1,Treatment
20,1,Treatment
20,0,Treatment
20,1,Treatment
20,0,Treatment
20,0,Treatment
20,0,Treatment
20,0,Treatment
20,1,Treatment
20,0,Treatment
20,1,Treatment
20,1,Treatment
20,0,Treatment
20,0,Treatment
20,0,Treatment
20,0,Treatment
20,1,Treatment
20,0,Treatment
20,1,Treatment
20,1,Treatment
20,0,Treatment
52,1,Control
52,0,Control
52,1,Control
52,0,Control
52,0,Control
52,0,Control
52,0,Control
52,1,Control
52,0,Control
52,1,Control
52,1,Control
52,0,Control
52,0,Control
52,1,Control
52,1,Control
52,0,Control
52,1,Control
52,0,Control
52,0,Control
52,1,Control
52,0,Control
52,1,Control
52,0,Control
52,1,Control
52,0,Control
52,0,Control
52,1,Control
52,1,Control
52,1,Control
52,0,Control
52,0,Control
52,1,Control
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
21,1,Treatment
53,1,Control
53,1,Control
53,1,Control
53,1,Control
53,1,Control
53,0,Control
53,1,Control
53,1,Control
53,1,Control
53,1,Control
53,1,Control
53,0,Control
53,1,Control
53,1,Control
53,1,Control
53,1,Control
53,1,Control
53,1,Control
53,1,Control
53,1,Control
53,1,Control
53,0,Control
53,1,Control
53,1,Control
53,1,Control
53,1,Control
53,1,Control
53,1,Control
53,1,Control
53,1,Control
53,1,Control
53,1,Control
22,1,Treatment
22,1,Treatment
22,0,Treatment
22,1,Treatment
22,1,Treatment
22,1,Treatment
22,1,Treatment
22,1,Treatment
22,1,Treatment
22,0,Treatment
22,1,Treatment
22,1,Treatment
22,0,Treatment
22,1,Treatment
22,1,Treatment
22,1,Treatment
22,1,Treatment
22,1,Treatment
22,1,Treatment
22,1,Treatment
22,1,Treatment
22,1,Treatment
22,1,Treatment
22,1,Treatment
22,1,Treatment
22,1,Treatment
22,1,Treatment
22,1,Treatment
22,1,Treatment
22,1,Treatment
22,1,Treatment
22,1,Treatment
54,1,Control
54,1,Control
54,0,Control
54,1,Control
54,1,Control
54,1,Control
54,1,Control
54,1,Control
54,1,Control
54,1,Control
54,1,Control
54,1,Control
54,1,Control
54,0,Control
54,1,Control
54,1,Control
54,1,Control
54,1,Control
54,0,Control
54,1,Control
54,1,Control
54,1,Control
54,1,Control
54,1,Control
54,1,Control
54,1,Control
54,1,Control
54,1,Control
54,1,Control
54,1,Control
54,1,Control
54,1,Control
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
23,1,Treatment
55,1,Control
55,1,Control
55,1,Control
55,1,Control
55,1,Control
55,1,Control
55,1,Control
55,0,Control
55,1,Control
55,1,Control
55,0,Control
55,1,Control
55,1,Control
55,0,Control
55,0,Control
55,1,Control
55,1,Control
55,0,Control
55,1,Control
55,1,Control
55,1,Control
55,1,Control
55,1,Control
55,1,Control
55,1,Control
55,1,Control
55,1,Control
55,0,Control
55,1,Control
55,1,Control
55,1,Control
55,1,Control
24,0,Treatment
24,1,Treatment
24,1,Treatment
24,1,Treatment
24,1,Treatment
24,1,Treatment
24,1,Treatment
24,1,Treatment
24,1,Treatment
24,1,Treatment
24,1,Treatment
24,1,Treatment
24,1,Treatment
24,1,Treatment
24,1,Treatment
24,1,Treatment
24,1,Treatment
24,0,Treatment
24,1,Treatment
24,1,Treatment
24,1,Treatment
24,1,Treatment
24,1,Treatment
24,0,Treatment
24,1,Treatment
24,1,Treatment
24,1,Treatment
24,1,Treatment
24,0,Treatment
24,1,Treatment
24,1,Treatment
24,1,Treatment
56,0,Control
56,0,Control
56,0,Control
56,1,Control
56,1,Control
56,1,Control
56,0,Control
56,1,Control
56,1,Control
56,1,Control
56,1,Control
56,1,Control
56,1,Control
56,1,Control
56,1,Control
56,1,Control
56,1,Control
56,0,Control
56,0,Control
56,1,Control
56,1,Control
56,1,Control
56,0,Control
56,0,Control
56,1,Control
56,1,Control
56,1,Control
56,1,Control
56,1,Control
56,1,Control
56,1,Control
56,1,Control
25,0,Treatment
25,1,Treatment
25,0,Treatment
25,1,Treatment
25,1,Treatment
25,1,Treatment
25,0,Treatment
25,1,Treatment
25,1,Treatment
25,1,Treatment
25,1,Treatment
25,1,Treatment
25,0,Treatment
25,1,Treatment
25,1,Treatment
25,0,Treatment
25,0,Treatment
25,1,Treatment
25,1,Treatment
25,0,Treatment
25,0,Treatment
25,0,Treatment
25,1,Treatment
25,0,Treatment
25,0,Treatment
25,0,Treatment
25,0,Treatment
25,0,Treatment
25,0,Treatment
25,0,Treatment
25,1,Treatment
25,1,Treatment
57,0,Control
57,0,Control
57,0,Control
57,1,Control
57,1,Control
57,0,Control
57,1,Control
57,1,Control
57,1,Control
57,1,Control
57,1,Control
57,0,Control
57,0,Control
57,1,Control
57,0,Control
57,1,Control
57,0,Control
57,1,Control
57,0,Control
57,1,Control
57,1,Control
57,0,Control
57,0,Control
57,1,Control
57,1,Control
57,0,Control
57,0,Control
57,0,Control
57,0,Control
57,0,Control
57,0,Control
57,1,Control
26,1,Treatment
26,0,Treatment
26,0,Treatment
26,1,Treatment
26,1,Treatment
26,1,Treatment
26,0,Treatment
26,1,Treatment
26,1,Treatment
26,0,Treatment
26,0,Treatment
26,0,Treatment
26,0,Treatment
26,1,Treatment
26,1,Treatment
26,0,Treatment
26,1,Treatment
26,1,Treatment
26,0,Treatment
26,1,Treatment
26,1,Treatment
26,1,Treatment
26,1,Treatment
26,0,Treatment
26,1,Treatment
26,1,Treatment
26,1,Treatment
26,1,Treatment
26,1,Treatment
26,1,Treatment
26,1,Treatment
26,1,Treatment
58,1,Control
58,1,Control
58,1,Control
58,0,Control
58,1,Control
58,0,Control
58,1,Control
58,0,Control
58,1,Control
58,1,Control
58,1,Control
58,0,Control
58,1,Control
58,0,Control
58,1,Control
58,0,Control
58,1,Control
58,0,Control
58,1,Control
58,1,Control
58,1,Control
58,0,Control
58,1,Control
58,1,Control
58,0,Control
58,1,Control
58,0,Control
58,1,Control
58,1,Control
58,1,Control
58,1,Control
58,0,Control
27,1,Treatment
27,1,Treatment
27,1,Treatment
27,1,Treatment
27,1,Treatment
27,1,Treatment
27,1,Treatment
27,0,Treatment
27,1,Treatment
27,1,Treatment
27,1,Treatment
27,1,Treatment
27,1,Treatment
27,1,Treatment
27,1,Treatment
27,1,Treatment
27,1,Treatment
27,1,Treatment
27,1,Treatment
27,1,Treatment
27,1,Treatment
27,1,Treatment
27,1,Treatment
27,1,Treatment
27,1,Treatment
27,0,Treatment
27,1,Treatment
27,1,Treatment
27,1,Treatment
27,1,Treatment
27,1,Treatment
27,1,Treatment
59,0,Control
59,1,Control
59,1,Control
59,0,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
59,1,Control
28,1,Treatment
28,1,Treatment
28,1,Treatment
28,0,Treatment
28,1,Treatment
28,1,Treatment
28,0,Treatment
28,1,Treatment
28,0,Treatment
28,1,Treatment
28,0,Treatment
28,1,Treatment
28,1,Treatment
28,1,Treatment
28,1,Treatment
28,0,Treatment
