Subject,Accuracy,Time of Day,Treatment Condition
2,0,Morning,Treatment
2,1,Morning,Control
2,0,Morning,Control
2,0,Morning,Treatment
2,0,Morning,Treatment
2,1,Morning,Control
2,0,Morning,Treatment
2,1,Morning,Treatment
2,1,Morning,Control
2,1,Morning,Control
2,0,Morning,Control
2,0,Morning,Treatment
2,1,Morning,Treatment
2,1,Morning,Treatment
2,0,Morning,Control
2,0,Morning,Control
2,1,Morning,Control
2,0,Morning,Control
2,0,Morning,Control
2,0,Morning,Control
2,1,Morning,Treatment
2,1,Morning,Treatment
2,1,Morning,Control
2,1,Morning,Control
2,0,Night,Control
2,1,Night,Treatment
2,0,Night,Treatment
2,0,Night,Treatment
2,1,Night,Control
2,1,Night,Treatment
2,1,Night,Control
2,1,Night,Treatment
2,1,Night,Treatment
2,1,Night,Control
2,1,Night,Treatment
2,1,Night,Control
2,1,Night,Treatment
2,1,Night,Control
2,1,Night,Treatment
2,1,Night,Control
2,0,Night,Treatment
2,1,Night,Treatment
2,0,Night,Treatment
2,0,Night,Control
2,0,Night,Control
2,0,Night,Treatment
2,1,Night,Control
2,0,Night,Control
2,1,Night,Treatment
2,1,Night,Control
2,0,Night,Control
2,0,Night,Treatment
2,1,Night,Control
2,1,Night,Control
2,0,Night,Treatment
2,0,Night,Treatment
2,1,Night,Treatment
2,1,Night,Control
2,0,Night,Control
2,0,Night,Treatment
2,0,Night,Treatment
2,0,Night,Treatment
2,1,Night,Control
2,0,Night,Control
2,1,Night,Control
2,1,Night,Control
2,1,Night,Treatment
2,1,Night,Control
2,1,Night,Treatment
2,1,Night,Treatment
2,1,Night,Control
2,0,Night,Treatment
2,0,Night,Treatment
2,1,Night,Treatment
2,1,Night,Treatment
2,0,Night,Treatment
2,0,Night,Treatment
2,0,Night,Control
2,0,Night,Control
2,1,Night,Treatment
2,0,Night,Control
2,1,Night,Control
2,1,Night,Control
2,0,Night,Control
2,0,Night,Control
2,1,Night,Control
2,0,Night,Treatment
2,0,Night,Control
3,1,Morning,Treatment
3,1,Morning,Control
3,1,Morning,Treatment
3,1,Morning,Control
3,0,Morning,Control
3,1,Morning,Control
3,0,Morning,Treatment
3,1,Morning,Control
3,0,Morning,Treatment
3,1,Morning,Control
3,1,Morning,Treatment
3,1,Morning,Control
3,0,Morning,Treatment
3,1,Morning,Treatment
3,1,Morning,Treatment
3,1,Morning,Control
3,1,Morning,Control
3,1,Morning,Treatment
3,1,Morning,Control
3,1,Morning,Control
3,1,Morning,Treatment
3,0,Morning,Treatment
3,1,Morning,Treatment
3,0,Morning,Control
3,0,Morning,Control
3,1,Morning,Control
3,1,Morning,Control
3,0,Morning,Control
3,0,Morning,Control
3,1,Morning,Treatment
3,0,Morning,Control
3,0,Morning,Control
3,1,Morning,Control
3,1,Morning,Control
3,1,Morning,Treatment
3,1,Morning,Control
3,0,Morning,Control
3,1,Morning,Control
3,1,Morning,Treatment
3,1,Morning,Treatment
3,0,Morning,Treatment
3,0,Morning,Control
3,1,Morning,Treatment
3,1,Morning,Treatment
3,1,Morning,Control
3,1,Morning,Treatment
3,1,Morning,Control
3,1,Morning,Control
3,1,Morning,Treatment
3,0,Morning,Control
3,0,Morning,Control
3,1,Morning,Treatment
3,1,Morning,Treatment
3,1,Morning,Treatment
3,1,Morning,Treatment
3,1,Morning,Treatment
3,1,Morning,Treatment
3,0,Morning,Treatment
3,1,Morning,Control
3,1,Morning,Treatment
3,1,Morning,Treatment
3,1,Morning,Treatment
3,1,Morning,Treatment
3,1,Morning,Control
3,1,Night,Treatment
3,1,Night,Control
3,1,Night,Treatment
3,1,Night,Treatment
3,1,Night,Treatment
3,1,Night,Control
3,1,Night,Treatment
3,1,Night,Treatment
3,0,Night,Treatment
3,1,Night,Treatment
3,1,Night,Control
3,1,Night,Control
3,0,Night,Treatment
3,1,Night,Control
3,1,Night,Control
3,1,Night,Treatment
3,1,Night,Control
3,1,Night,Treatment
3,1,Night,Control
3,1,Night,Treatment
3,1,Night,Control
3,1,Night,Treatment
3,0,Night,Treatment
3,1,Night,Control
3,1,Night,Treatment
3,1,Night,Treatment
3,1,Night,Treatment
3,1,Night,Treatment
3,0,Night,Control
3,1,Night,Control
3,1,Night,Control
3,1,Night,Control
3,1,Night,Treatment
3,1,Night,Control
3,1,Night,Treatment
3,1,Night,Control
3,1,Night,Control
3,1,Night,Treatment
3,1,Night,Control
3,1,Night,Control
3,1,Night,Control
3,1,Night,Treatment
3,1,Night,Control
3,1,Night,Treatment
3,1,Night,Treatment
3,1,Night,Control
3,1,Night,Treatment
3,0,Night,Treatment
3,1,Night,Treatment
3,1,Night,Control
3,1,Night,Control
3,1,Night,Control
3,1,Night,Treatment
3,1,Night,Control
3,1,Night,Treatment
3,1,Night,Control
3,1,Night,Treatment
3,1,Night,Control
3,1,Night,Control
3,1,Night,Control
3,1,Night,Treatment
3,1,Night,Treatment
3,0,Night,Control
3,1,Night,Control
4,1,Morning,Treatment
4,1,Morning,Control
4,1,Morning,Treatment
4,1,Morning,Treatment
4,0,Morning,Control
4,0,Morning,Control
4,0,Morning,Treatment
4,1,Morning,Control
4,1,Morning,Control
4,1,Morning,Treatment
4,1,Morning,Treatment
4,1,Morning,Control
4,1,Morning,Control
4,1,Morning,Treatment
4,1,Morning,Control
4,1,Morning,Treatment
4,1,Morning,Treatment
4,1,Morning,Treatment
4,1,Morning,Treatment
4,1,Morning,Control
4,0,Morning,Treatment
4,1,Morning,Treatment
4,1,Morning,Control
4,1,Morning,Control
4,1,Morning,Treatment
4,0,Morning,Control
4,1,Morning,Control
4,1,Morning,Treatment
4,1,Morning,Control
4,1,Morning,Control
4,1,Morning,Control
4,1,Morning,Treatment
4,0,Morning,Control
4,1,Morning,Treatment
4,1,Morning,Treatment
4,1,Morning,Treatment
4,1,Morning,Treatment
4,1,Morning,Control
4,1,Morning,Control
4,1,Morning,Treatment
4,1,Morning,Control
4,1,Morning,Control
4,1,Morning,Treatment
4,0,Morning,Control
4,1,Morning,Control
4,1,Morning,Control
4,1,Morning,Treatment
4,0,Morning,Control
4,1,Morning,Control
4,0,Morning,Control
4,0,Morning,Control
4,1,Morning,Treatment
4,1,Morning,Control
4,1,Morning,Control
4,1,Morning,Treatment
4,1,Morning,Treatment
4,1,Morning,Treatment
4,1,Morning,Control
4,1,Morning,Treatment
4,1,Morning,Treatment
4,1,Morning,Treatment
4,1,Morning,Control
4,0,Morning,Treatment
4,0,Morning,Treatment
4,1,Night,Treatment
4,1,Night,Treatment
4,1,Night,Treatment
4,1,Night,Treatment
4,1,Night,Treatment
4,0,Night,Control
4,1,Night,Treatment
4,1,Night,Control
4,1,Night,Control
4,1,Night,Control
4,1,Night,Control
4,1,Night,Treatment
4,1,Night,Treatment
4,1,Night,Treatment
4,1,Night,Control
4,0,Night,Control
4,1,Night,Treatment
4,0,Night,Treatment
4,1,Night,Control
4,1,Night,Treatment
4,1,Night,Control
4,1,Night,Treatment
4,1,Night,Treatment
4,1,Night,Control
4,1,Night,Treatment
4,1,Night,Control
4,1,Night,Control
4,1,Night,Control
4,1,Night,Treatment
4,1,Night,Control
4,1,Night,Control
4,1,Night,Control
4,1,Night,Control
4,1,Night,Treatment
4,1,Night,Control
4,1,Night,Treatment
4,0,Night,Treatment
4,1,Night,Control
4,1,Night,Control
4,1,Night,Control
4,1,Night,Treatment
4,1,Night,Control
4,1,Night,Treatment
4,1,Night,Control
4,0,Night,Control
4,1,Night,Treatment
4,1,Night,Control
4,0,Night,Treatment
4,1,Night,Treatment
4,1,Night,Control
4,0,Night,Treatment
4,0,Night,Control
4,1,Night,Treatment
4,1,Night,Treatment
4,1,Night,Treatment
4,1,Night,Control
4,1,Night,Control
4,1,Night,Control
4,1,Night,Treatment
4,1,Night,Control
4,1,Night,Treatment
4,1,Night,Treatment
4,1,Night,Treatment
4,1,Night,Control
5,1,Morning,Treatment
5,1,Morning,Treatment
5,1,Morning,Treatment
5,0,Morning,Control
5,1,Morning,Control
5,1,Morning,Control
5,1,Morning,Control
5,1,Morning,Treatment
5,1,Morning,Treatment
5,1,Morning,Treatment
5,1,Morning,Control
5,1,Morning,Treatment
5,1,Morning,Treatment
5,1,Morning,Treatment
5,1,Morning,Control
5,1,Morning,Treatment
5,1,Morning,Control
5,1,Morning,Treatment
5,1,Morning,Control
5,1,Morning,Control
5,0,Morning,Control
5,1,Morning,Treatment
5,1,Morning,Treatment
5,1,Morning,Control
5,1,Morning,Control
5,0,Morning,Control
5,1,Morning,Control
5,0,Morning,Control
5,0,Morning,Control
5,1,Morning,Control
5,1,Morning,Control
5,1,Morning,Control
5,1,Morning,Treatment
5,1,Morning,Control
5,1,Morning,Control
5,1,Morning,Treatment
5,0,Morning,Control
5,1,Morning,Treatment
5,1,Morning,Treatment
5,1,Morning,Treatment
5,0,Morning,Treatment
5,1,Morning,Treatment
5,1,Morning,Control
5,1,Morning,Treatment
5,1,Morning,Treatment
5,1,Morning,Treatment
5,1,Morning,Control
5,1,Morning,Control
5,1,Morning,Treatment
5,1,Morning,Treatment
5,1,Morning,Treatment
5,1,Morning,Control
5,0,Morning,Control
5,1,Morning,Control
5,1,Morning,Control
5,1,Morning,Control
5,1,Morning,Treatment
5,1,Morning,Control
5,0,Morning,Control
5,1,Morning,Treatment
5,1,Morning,Treatment
5,0,Morning,Treatment
5,1,Morning,Treatment
5,1,Morning,Treatment
5,1,Night,Control
5,1,Night,Treatment
5,1,Night,Control
5,1,Night,Control
5,1,Night,Control
5,1,Night,Treatment
5,1,Night,Treatment
5,1,Night,Control
5,1,Night,Control
5,0,Night,Control
5,1,Night,Treatment
5,1,Night,Treatment
5,1,Night,Control
5,1,Night,Control
5,0,Night,Control
5,1,Night,Control
5,1,Night,Control
5,1,Night,Treatment
5,1,Night,Treatment
5,0,Night,Treatment
5,1,Night,Control
5,0,Night,Treatment
5,1,Night,Treatment
5,1,Night,Treatment
5,1,Night,Control
5,1,Night,Control
5,1,Night,Control
5,1,Night,Control
5,1,Night,Treatment
5,1,Night,Treatment
5,1,Night,Treatment
5,1,Night,Treatment
5,1,Night,Treatment
5,0,Night,Control
5,1,Night,Treatment
5,1,Night,Control
5,1,Night,Treatment
5,1,Night,Treatment
5,1,Night,Treatment
5,1,Night,Control
5,1,Night,Control
5,1,Night,Treatment
5,1,Night,Control
5,1,Night,Control
5,1,Night,Control
5,1,Night,Control
5,1,Night,Control
5,0,Night,Treatment
5,1,Night,Treatment
5,1,Night,Treatment
5,0,Night,Treatment
5,1,Night,Treatment
5,0,Night,Control
5,0,Night,Control
5,0,Night,Treatment
5,1,Night,Treatment
5,1,Night,Control
5,1,Night,Control
5,1,Night,Control
5,1,Night,Treatment
5,1,Night,Treatment
5,0,Night,Control
5,1,Night,Treatment
5,1,Night,Treatment
6,1,Morning,Treatment
6,0,Morning,Control
6,0,Morning,Control
6,1,Morning,Treatment
6,1,Morning,Control
6,1,Morning,Treatment
6,0,Morning,Control
6,0,Morning,Treatment
6,0,Morning,Control
6,1,Morning,Treatment
6,1,Morning,Control
6,1,Morning,Treatment
6,1,Morning,Treatment
6,1,Morning,Control
6,1,Morning,Treatment
6,1,Morning,Treatment
6,1,Morning,Control
6,1,Morning,Treatment
6,1,Morning,Treatment
6,1,Morning,Control
6,1,Morning,Treatment
6,1,Morning,Treatment
6,1,Morning,Treatment
6,0,Morning,Treatment
6,1,Morning,Treatment
6,0,Morning,Control
6,0,Morning,Control
6,1,Morning,Treatment
6,1,Morning,Control
6,1,Morning,Treatment
6,1,Morning,Treatment
6,1,Morning,Control
6,1,Morning,Treatment
6,0,Morning,Control
6,1,Morning,Control
6,1,Morning,Control
6,1,Morning,Treatment
6,1,Morning,Treatment
6,1,Morning,Treatment
6,1,Morning,Treatment
6,1,Morning,Treatment
6,1,Morning,Treatment
6,1,Morning,Control
6,1,Morning,Control
6,1,Morning,Control
6,1,Morning,Treatment
6,1,Morning,Treatment
6,1,Morning,Treatment
6,1,Morning,Control
6,1,Morning,Treatment
6,0,Morning,Control
6,0,Morning,Control
6,0,Morning,Control
6,1,Morning,Control
6,1,Morning,Treatment
6,1,Morning,Treatment
6,1,Morning,Control
6,1,Morning,Control
6,1,Morning,Control
6,1,Morning,Control
6,1,Morning,Control
6,1,Morning,Control
6,0,Morning,Control
6,1,Morning,Control
6,1,Night,Control
6,1,Night,Treatment
6,1,Night,Control
6,0,Night,Treatment
6,1,Night,Treatment
6,1,Night,Treatment
6,1,Night,Treatment
6,1,Night,Treatment
6,1,Night,Control
6,1,Night,Control
6,1,Night,Treatment
6,1,Night,Control
6,1,Night,Control
6,1,Night,Control
6,1,Night,Treatment
6,1,Night,Control
6,1,Night,Control
6,0,Night,Treatment
6,1,Night,Treatment
6,1,Night,Treatment
6,1,Night,Control
6,1,Night,Treatment
6,1,Night,Treatment
6,1,Night,Treatment
6,0,Night,Treatment
6,1,Night,Treatment
6,1,Night,Control
6,1,Night,Treatment
6,1,Night,Control
6,1,Night,Treatment
6,1,Night,Control
6,1,Night,Control
6,0,Night,Control
6,1,Night,Control
6,1,Night,Control
6,1,Night,Control
6,1,Night,Control
6,1,Night,Control
6,1,Night,Control
6,0,Night,Treatment
6,1,Night,Treatment
6,1,Night,Treatment
6,1,Night,Treatment
6,1,Night,Control
6,1,Night,Control
6,1,Night,Control
6,0,Night,Treatment
6,1,Night,Treatment
6,1,Night,Treatment
6,1,Night,Treatment
6,1,Night,Control
6,1,Night,Treatment
6,1,Night,Control
6,1,Night,Control
6,1,Night,Treatment
6,1,Night,Treatment
6,1,Night,Control
6,1,Night,Control
6,1,Night,Treatment
6,1,Night,Control
6,1,Night,Treatment
6,1,Night,Treatment
6,1,Night,Control
6,1,Night,Control
7,1,Morning,Treatment
7,1,Morning,Control
7,1,Morning,Treatment
7,1,Morning,Treatment
7,1,Morning,Control
7,1,Morning,Control
7,1,Morning,Treatment
7,0,Morning,Treatment
7,1,Morning,Treatment
7,1,Morning,Treatment
7,0,Morning,Treatment
7,1,Morning,Treatment
7,1,Morning,Treatment
7,1,Morning,Control
7,1,Morning,Control
7,1,Morning,Treatment
7,1,Morning,Treatment
7,1,Morning,Control
7,1,Morning,Treatment
7,1,Morning,Treatment
7,1,Morning,Control
7,1,Morning,Control
7,1,Morning,Control
7,1,Morning,Treatment
7,1,Morning,Control
7,1,Morning,Control
7,1,Morning,Control
7,1,Morning,Treatment
7,1,Morning,Control
7,1,Morning,Control
7,1,Morning,Treatment
7,1,Morning,Control
7,1,Morning,Treatment
7,1,Morning,Treatment
7,1,Morning,Control
7,1,Morning,Treatment
7,1,Morning,Control
7,1,Morning,Treatment
7,1,Morning,Control
7,1,Morning,Control
7,1,Morning,Control
7,1,Morning,Control
7,1,Morning,Control
7,1,Morning,Control
7,1,Morning,Treatment
7,1,Morning,Control
7,1,Morning,Treatment
7,1,Morning,Control
7,1,Morning,Treatment
7,1,Morning,Control
7,1,Morning,Control
7,1,Morning,Control
7,1,Morning,Control
7,1,Morning,Treatment
7,1,Morning,Control
7,1,Morning,Treatment
7,1,Morning,Treatment
7,1,Morning,Control
7,1,Morning,Treatment
7,1,Morning,Treatment
7,1,Morning,Control
7,1,Morning,Treatment
7,1,Morning,Treatment
7,1,Morning,Treatment
7,1,Night,Treatment
7,1,Night,Treatment
7,1,Night,Treatment
7,1,Night,Treatment
7,1,Night,Treatment
7,1,Night,Treatment
7,1,Night,Treatment
7,1,Night,Control
7,1,Night,Treatment
7,1,Night,Control
7,1,Night,Control
7,1,Night,Treatment
7,1,Night,Treatment
7,1,Night,Treatment
7,1,Night,Treatment
7,1,Night,Control
7,1,Night,Control
7,1,Night,Control
7,1,Night,Treatment
7,1,Night,Control
7,1,Night,Treatment
7,1,Night,Treatment
7,1,Night,Treatment
7,1,Night,Control
7,1,Night,Control
7,1,Night,Treatment
7,1,Night,Control
7,1,Night,Control
7,1,Night,Treatment
7,1,Night,Treatment
7,1,Night,Control
7,1,Night,Control
7,1,Night,Control
7,1,Night,Control
7,0,Night,Control
7,1,Night,Control
7,1,Night,Treatment
7,1,Night,Control
7,1,Night,Control
7,1,Night,Control
7,1,Night,Control
7,1,Night,Treatment
7,1,Night,Control
7,1,Night,Control
7,1,Night,Treatment
7,1,Night,Control
7,1,Night,Treatment
7,1,Night,Control
7,1,Night,Control
7,1,Night,Control
7,1,Night,Treatment
7,1,Night,Treatment
7,1,Night,Treatment
7,1,Night,Treatment
7,1,Night,Treatment
7,1,Night,Control
7,1,Night,Treatment
7,1,Night,Control
7,1,Night,Treatment
7,1,Night,Control
7,1,Night,Treatment
7,1,Night,Treatment
7,1,Night,Control
7,1,Night,Control
8,1,Morning,Control
8,1,Morning,Treatment
8,1,Morning,Control
8,0,Morning,Treatment
8,0,Morning,Control
8,1,Morning,Treatment
8,1,Morning,Treatment
8,1,Morning,Treatment
8,1,Morning,Control
8,0,Morning,Control
8,1,Morning,Treatment
8,0,Morning,Control
8,0,Morning,Control
8,1,Morning,Treatment
8,1,Morning,Control
8,1,Morning,Treatment
8,0,Morning,Treatment
8,1,Morning,Control
8,1,Morning,Control
8,1,Morning,Treatment
8,1,Morning,Treatment
8,1,Morning,Treatment
8,1,Morning,Control
8,0,Morning,Control
8,1,Morning,Control
8,1,Morning,Treatment
8,0,Morning,Treatment
8,1,Morning,Treatment
8,1,Morning,Control
8,1,Morning,Treatment
8,1,Morning,Treatment
8,1,Morning,Control
8,1,Morning,Control
8,1,Morning,Treatment
8,1,Morning,Treatment
8,0,Morning,Control
8,1,Morning,Control
8,1,Morning,Treatment
8,1,Morning,Control
8,1,Morning,Control
8,1,Morning,Treatment
8,1,Morning,Treatment
8,1,Morning,Control
8,1,Morning,Treatment
8,1,Morning,Treatment
8,1,Morning,Control
8,1,Morning,Treatment
8,1,Morning,Control
8,1,Morning,Control
8,1,Morning,Treatment
8,1,Morning,Control
8,1,Morning,Control
8,1,Morning,Control
8,1,Morning,Treatment
8,0,Morning,Control
8,1,Morning,Control
8,1,Morning,Treatment
8,1,Morning,Control
8,1,Morning,Treatment
8,1,Morning,Control
8,0,Morning,Control
8,1,Morning,Treatment
8,1,Morning,Treatment
8,0,Morning,Treatment
8,1,Night,Treatment
8,0,Night,Treatment
8,1,Night,Control
8,1,Night,Treatment
8,1,Night,Control
8,1,Night,Treatment
8,1,Night,Treatment
8,1,Night,Control
8,1,Night,Treatment
8,1,Night,Control
8,1,Night,Control
8,1,Night,Treatment
8,1,Night,Control
8,1,Night,Control
8,0,Night,Treatment
8,1,Night,Control
8,1,Night,Treatment
8,1,Night,Treatment
8,1,Night,Treatment
8,1,Night,Control
8,1,Night,Control
8,1,Night,Treatment
8,1,Night,Control
8,1,Night,Treatment
8,1,Night,Control
8,1,Night,Control
8,1,Night,Control
8,1,Night,Control
8,0,Night,Control
8,1,Night,Treatment
8,1,Night,Treatment
8,1,Night,Treatment
8,1,Night,Treatment
8,1,Night,Control
8,1,Night,Treatment
8,1,Night,Control
8,1,Night,Treatment
8,1,Night,Control
8,1,Night,Treatment
8,1,Night,Control
8,1,Night,Control
8,1,Night,Control
8,1,Night,Treatment
8,0,Night,Control
8,1,Night,Control
8,1,Night,Control
8,1,Night,Treatment
8,1,Night,Control
8,0,Night,Control
8,0,Night,Control
8,1,Night,Treatment
8,1,Night,Treatment
8,1,Night,Control
8,1,Night,Treatment
8,1,Night,Treatment
8,1,Night,Treatment
8,1,Night,Treatment
8,1,Night,Treatment
8,1,Night,Treatment
8,1,Night,Treatment
8,0,Night,Control
8,0,Night,Control
8,1,Night,Treatment
8,0,Night,Control
9,1,Morning,Treatment
9,1,Morning,Control
9,1,Morning,Treatment
9,0,Morning,Control
9,1,Morning,Treatment
9,1,Morning,Treatment
9,1,Morning,Control
9,1,Morning,Treatment
9,1,Morning,Treatment
9,0,Morning,Treatment
9,1,Morning,Treatment
9,1,Morning,Treatment
9,1,Morning,Control
9,1,Morning,Treatment
9,0,Morning,Control
9,1,Morning,Control
9,1,Morning,Control
9,1,Morning,Treatment
9,1,Morning,Treatment
9,1,Morning,Treatment
9,1,Morning,Treatment
9,1,Morning,Treatment
9,1,Morning,Treatment
9,1,Morning,Control
9,1,Morning,Control
9,0,Morning,Control
9,0,Morning,Control
9,1,Morning,Control
9,1,Morning,Control
9,1,Morning,Control
9,1,Morning,Treatment
9,1,Morning,Treatment
9,1,Morning,Control
9,1,Morning,Control
9,1,Morning,Treatment
9,1,Morning,Control
9,0,Morning,Treatment
9,0,Morning,Control
9,0,Morning,Treatment
9,1,Morning,Control
9,1,Morning,Treatment
9,0,Morning,Control
9,1,Morning,Control
9,1,Morning,Treatment
9,0,Morning,Treatment
9,1,Morning,Control
9,1,Morning,Control
9,1,Morning,Treatment
9,1,Morning,Treatment
9,1,Morning,Treatment
9,1,Morning,Control
9,0,Morning,Control
9,0,Morning,Control
9,0,Morning,Control
9,1,Morning,Control
9,1,Morning,Control
9,1,Morning,Treatment
9,1,Morning,Treatment
9,1,Morning,Control
9,1,Morning,Treatment
9,1,Morning,Treatment
9,0,Morning,Control
9,1,Morning,Treatment
9,0,Morning,Control
9,1,Night,Control
9,1,Night,Treatment
9,1,Night,Treatment
9,1,Night,Treatment
9,1,Night,Treatment
9,1,Night,Control
9,1,Night,Treatment
9,0,Night,Treatment
9,1,Night,Treatment
9,1,Night,Treatment
9,1,Night,Control
9,1,Night,Control
9,1,Night,Treatment
9,1,Night,Treatment
9,1,Night,Treatment
9,1,Night,Treatment
9,1,Night,Control
9,1,Night,Control
9,1,Night,Control
9,1,Night,Treatment
9,0,Night,Treatment
9,1,Night,Treatment
9,1,Night,Treatment
9,1,Night,Control
9,1,Night,Treatment
9,1,Night,Control
9,1,Night,Control
9,1,Night,Treatment
9,1,Night,Treatment
9,1,Night,Control
9,1,Night,Control
9,1,Night,Treatment
9,1,Night,Control
9,1,Night,Control
9,1,Night,Treatment
9,1,Night,Treatment
9,1,Night,Control
9,1,Night,Treatment
9,1,Night,Control
9,1,Night,Control
9,1,Night,Control
9,0,Night,Treatment
9,1,Night,Control
9,1,Night,Control
9,1,Night,Control
9,1,Night,Control
9,1,Night,Control
9,1,Night,Treatment
9,0,Night,Control
9,1,Night,Treatment
9,1,Night,Control
9,1,Night,Treatment
9,1,Night,Control
9,0,Night,Control
9,0,Night,Control
9,1,Night,Treatment
9,1,Night,Control
9,1,Night,Control
9,1,Night,Treatment
9,1,Night,Treatment
9,1,Night,Treatment
9,1,Night,Treatment
9,1,Night,Control
9,1,Night,Control
10,1,Morning,Treatment
10,0,Morning,Treatment
10,1,Morning,Control
10,1,Morning,Treatment
10,0,Morning,Control
10,1,Morning,Treatment
10,1,Morning,Treatment
10,1,Morning,Control
10,0,Morning,Control
10,0,Morning,Treatment
10,1,Morning,Treatment
10,1,Morning,Control
10,1,Morning,Treatment
10,1,Morning,Control
10,1,Morning,Control
10,1,Morning,Control
10,1,Morning,Control
10,1,Morning,Treatment
10,1,Morning,Treatment
10,0,Morning,Treatment
10,1,Morning,Control
10,1,Morning,Control
10,0,Morning,Control
10,1,Morning,Treatment
10,1,Morning,Treatment
10,0,Morning,Control
10,1,Morning,Treatment
10,1,Morning,Treatment
10,0,Morning,Control
10,1,Morning,Control
10,1,Morning,Control
10,1,Morning,Control
10,1,Morning,Treatment
10,1,Morning,Treatment
10,1,Morning,Treatment
10,1,Morning,Control
10,1,Morning,Treatment
10,1,Morning,Treatment
10,1,Morning,Treatment
10,1,Morning,Control
10,1,Morning,Treatment
10,1,Morning,Control
10,1,Morning,Control
10,1,Morning,Control
10,1,Morning,Control
10,1,Morning,Treatment
10,1,Morning,Treatment
10,1,Morning,Treatment
10,0,Morning,Treatment
10,1,Morning,Treatment
10,1,Morning,Control
10,0,Morning,Control
10,1,Morning,Control
10,1,Morning,Control
10,1,Morning,Treatment
10,1,Morning,Control
10,1,Morning,Control
10,1,Morning,Treatment
